date,private browsing internet explorer 11,search without history
2011-01-01,0,53
2011-02-01,0,37
2011-03-01,0,27
2011-04-01,0,35
2011-05-01,6,29
2011-06-01,6,44
2011-07-01,6,48
2011-08-01,6,30
2011-09-01,5,51
2011-10-01,5,33
2011-11-01,5,49
2011-12-01,5,29
2012-01-01,0,38
2012-02-01,0,52
2012-03-01,0,42
2012-04-01,0,56
2012-05-01,0,43
2012-06-01,5,53
2012-07-01,4,52
2012-08-01,4,53
2012-09-01,4,48
2012-10-01,4,55
2012-11-01,4,41
2012-12-01,4,46
2013-01-01,0,60
2013-02-01,0,55
2013-03-01,0,59
2013-04-01,0,47
2013-05-01,0,43
2013-06-01,0,67
2013-07-01,0,52
2013-08-01,0,69
2013-09-01,4,70
2013-10-01,5,59
2013-11-01,7,66
2013-12-01,8,51
2014-01-01,13,62
2014-02-01,15,66
2014-03-01,14,64
2014-04-01,12,67
2014-05-01,8,57
2014-06-01,15,61
2014-07-01,6,65
2014-08-01,14,53
2014-09-01,17,72
2014-10-01,8,95
2014-11-01,10,60
2014-12-01,12,78
2015-01-01,10,87
2015-02-01,13,55
2015-03-01,7,74
2015-04-01,8,80
2015-05-01,8,77
2015-06-01,12,72
2015-07-01,18,72
2015-08-01,18,75
2015-09-01,10,76
2015-10-01,8,74
2015-11-01,11,72
2015-12-01,8,77
2016-01-01,6,75
2016-02-01,10,100
2016-03-01,6,84
2016-04-01,5,85
2016-05-01,8,70
2016-06-01,8,83
2016-07-01,13,75
2016-08-01,11,95
2016-09-01,13,84
2016-10-01,8,73
2016-11-01,8,76
2016-12-01,8,73
2017-01-01,9,96
