date,Encryption of WhatsApp,whatsapp security settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,2,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,2,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,1,0
2012-02-01,0,2
2012-03-01,1,0
2012-04-01,0,2
2012-05-01,0,0
2012-06-01,0,1
2012-07-01,0,0
2012-08-01,0,3
2012-09-01,1,0
2012-10-01,0,1
2012-11-01,1,1
2012-12-01,0,2
2013-01-01,1,2
2013-02-01,1,1
2013-03-01,1,1
2013-04-01,0,2
2013-05-01,0,2
2013-06-01,0,1
2013-07-01,1,1
2013-08-01,1,2
2013-09-01,1,1
2013-10-01,0,2
2013-11-01,2,2
2013-12-01,2,1
2014-01-01,1,2
2014-02-01,2,4
2014-03-01,2,1
2014-04-01,2,2
2014-05-01,2,2
2014-06-01,0,2
2014-07-01,2,4
2014-08-01,2,2
2014-09-01,1,1
2014-10-01,2,3
2014-11-01,3,4
2014-12-01,2,1
2015-01-01,3,2
2015-02-01,2,4
2015-03-01,1,7
2015-04-01,2,4
2015-05-01,1,2
2015-06-01,1,2
2015-07-01,3,4
2015-08-01,2,2
2015-09-01,3,4
2015-10-01,1,1
2015-11-01,2,3
2015-12-01,3,4
2016-01-01,2,3
2016-02-01,3,2
2016-03-01,2,3
2016-04-01,100,13
2016-05-01,15,4
2016-06-01,14,4
2016-07-01,12,3
2016-08-01,8,3
2016-09-01,6,8
2016-10-01,10,5
2016-11-01,9,4
2016-12-01,3,3
2017-01-01,5,5
