date,is whatsapp safe to use,whatsapp security settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,11,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,9,0
2012-03-01,18,9
2012-04-01,9,11
2012-05-01,12,12
2012-06-01,15,14
2012-07-01,18,16
2012-08-01,9,17
2012-09-01,9,20
2012-10-01,8,23
2012-11-01,8,8
2012-12-01,12,8
2013-01-01,21,7
2013-02-01,16,8
2013-03-01,18,7
2013-04-01,21,7
2013-05-01,7,7
2013-06-01,14,11
2013-07-01,28,14
2013-08-01,14,14
2013-09-01,14,7
2013-10-01,23,7
2013-11-01,7,13
2013-12-01,17,7
2014-01-01,22,12
2014-02-01,37,24
2014-03-01,12,15
2014-04-01,22,13
2014-05-01,35,32
2014-06-01,35,25
2014-07-01,14,14
2014-08-01,24,17
2014-09-01,43,13
2014-10-01,16,16
2014-11-01,29,13
2014-12-01,22,6
2015-01-01,18,12
2015-02-01,29,26
2015-03-01,32,21
2015-04-01,15,18
2015-05-01,12,9
2015-06-01,24,21
2015-07-01,29,12
2015-08-01,20,6
2015-09-01,23,25
2015-10-01,27,5
2015-11-01,11,14
2015-12-01,34,14
2016-01-01,18,26
2016-02-01,29,13
2016-03-01,29,10
2016-04-01,18,100
2016-05-01,32,17
2016-06-01,26,31
2016-07-01,31,28
2016-08-01,23,20
2016-09-01,25,45
2016-10-01,35,24
2016-11-01,29,29
2016-12-01,34,19
2017-01-01,29,34
