Date,private detectives
2011-01-01,71.0
2011-02-01,85.0
2011-03-01,87.0
2011-04-01,86.0
2011-05-01,69.0
2011-06-01,75.0
2011-07-01,69.0
2011-08-01,32.0
2011-09-01,82.0
2011-10-01,52.0
2011-11-01,53.0
2011-12-01,67.0
2012-01-01,66.0
2012-02-01,76.0
2012-03-01,77.0
2012-04-01,100.0
2012-05-01,88.0
2012-06-01,60.0
2012-07-01,73.0
2012-08-01,49.0
2012-09-01,57.0
2012-10-01,62.0
2012-11-01,84.0
2012-12-01,38.0
2013-01-01,45.0
2013-02-01,66.0
2013-03-01,51.0
2013-04-01,29.0
2013-05-01,65.0
2013-06-01,48.0
2013-07-01,95.0
2013-08-01,64.0
2013-09-01,32.0
2013-10-01,46.0
2013-11-01,45.0
2013-12-01,50.0
2014-01-01,56.0
2014-02-01,49.0
2014-03-01,29.0
2014-04-01,58.0
2014-05-01,68.0
2014-06-01,81.0
2014-07-01,46.0
2014-08-01,39.0
2014-09-01,47.0
2014-10-01,42.0
2014-11-01,68.0
2014-12-01,64.0
2015-01-01,48.0
2015-02-01,34.0
2015-03-01,45.0
2015-04-01,44.0
2015-05-01,86.0
2015-06-01,78.0
2015-07-01,66.0
2015-08-01,56.0
2015-09-01,88.0
2015-10-01,73.0
2015-11-01,52.0
2015-12-01,39.0
2016-01-01,56.0
2016-02-01,50.0
2016-03-01,32.0
2016-04-01,46.0
2016-05-01,43.0
2016-06-01,30.0
