Date,www.kproxy.com
2011-01-01,100.0
2011-02-01,26.0
2011-03-01,47.0
2011-04-01,100.0
2011-05-01,72.0
2011-06-01,25.0
2011-07-01,23.0
2011-08-01,23.0
2011-09-01,22.0
2011-10-01,21.0
2011-11-01,21.0
2011-12-01,21.0
2012-01-01,27.0
2012-02-01,33.0
2012-03-01,39.0
2012-04-01,38.0
2012-05-01,38.0
2012-06-01,20.0
2012-07-01,19.0
2012-08-01,19.0
2012-09-01,19.0
2012-10-01,17.0
2012-11-01,35.0
2012-12-01,32.0
2013-01-01,32.0
2013-02-01,17.0
2013-03-01,38.0
2013-04-01,59.0
2013-05-01,80.0
2013-06-01,17.0
2013-07-01,16.0
2013-08-01,16.0
2013-09-01,16.0
2013-10-01,19.0
2013-11-01,23.0
2013-12-01,26.0
2014-01-01,29.0
2014-02-01,16.0
2014-03-01,29.0
2014-04-01,15.0
2014-05-01,16.0
2014-06-01,25.0
2014-07-01,35.0
2014-08-01,17.0
2014-09-01,17.0
2014-10-01,16.0
2014-11-01,16.0
2014-12-01,16.0
2015-01-01,16.0
2015-02-01,24.0
2015-03-01,32.0
2015-04-01,17.0
2015-05-01,17.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,32.0
2016-01-01,15.0
2016-02-01,15.0
2016-03-01,0.0
2016-04-01,0.0
2016-05-01,0.0
2016-06-01,0.0
