date,Deleting Facebook,how to delete facebook
2011-01-01,7,61
2011-02-01,6,56
2011-03-01,6,55
2011-04-01,6,58
2011-05-01,6,60
2011-06-01,6,65
2011-07-01,7,72
2011-08-01,8,86
2011-09-01,8,85
2011-10-01,8,85
2011-11-01,7,91
2011-12-01,8,100
2012-01-01,9,97
2012-02-01,8,99
2012-03-01,7,97
2012-04-01,6,90
2012-05-01,6,84
2012-06-01,6,85
2012-07-01,7,82
2012-08-01,8,89
2012-09-01,7,88
2012-10-01,6,77
2012-11-01,6,72
2012-12-01,6,79
2013-01-01,6,77
2013-02-01,6,71
2013-03-01,6,66
2013-04-01,5,64
2013-05-01,5,60
2013-06-01,5,61
2013-07-01,5,61
2013-08-01,5,62
2013-09-01,5,58
2013-10-01,5,56
2013-11-01,4,53
2013-12-01,4,56
2014-01-01,5,59
2014-02-01,5,55
2014-03-01,4,53
2014-04-01,4,52
2014-05-01,4,53
2014-06-01,5,56
2014-07-01,5,58
2014-08-01,5,62
2014-09-01,5,56
2014-10-01,4,52
2014-11-01,4,50
2014-12-01,4,53
2015-01-01,4,54
2015-02-01,4,51
2015-03-01,5,49
2015-04-01,4,48
2015-05-01,4,50
2015-06-01,4,54
2015-07-01,4,56
2015-08-01,4,54
2015-09-01,4,50
2015-10-01,4,49
2015-11-01,4,48
2015-12-01,4,50
2016-01-01,4,53
2016-02-01,4,48
2016-03-01,4,49
2016-04-01,4,51
2016-05-01,4,51
2016-06-01,5,54
2016-07-01,5,57
2016-08-01,4,53
2016-09-01,4,53
2016-10-01,4,53
2016-11-01,4,55
2016-12-01,5,51
2017-01-01,5,57
