date,How to close Facebook account,how to delete facebook
2011-01-01,1,61
2011-02-01,1,56
2011-03-01,1,55
2011-04-01,1,58
2011-05-01,1,60
2011-06-01,1,65
2011-07-01,2,72
2011-08-01,3,86
2011-09-01,3,85
2011-10-01,3,85
2011-11-01,4,91
2011-12-01,4,100
2012-01-01,4,97
2012-02-01,4,99
2012-03-01,4,97
2012-04-01,3,90
2012-05-01,3,84
2012-06-01,3,85
2012-07-01,3,82
2012-08-01,3,89
2012-09-01,3,88
2012-10-01,3,77
2012-11-01,3,72
2012-12-01,3,79
2013-01-01,3,77
2013-02-01,3,71
2013-03-01,3,66
2013-04-01,3,64
2013-05-01,3,60
2013-06-01,2,61
2013-07-01,3,61
2013-08-01,3,62
2013-09-01,2,58
2013-10-01,2,56
2013-11-01,2,53
2013-12-01,2,56
2014-01-01,2,59
2014-02-01,2,55
2014-03-01,2,53
2014-04-01,2,52
2014-05-01,2,53
2014-06-01,2,56
2014-07-01,2,58
2014-08-01,2,62
2014-09-01,2,56
2014-10-01,2,52
2014-11-01,2,50
2014-12-01,2,53
2015-01-01,2,54
2015-02-01,2,51
2015-03-01,2,49
2015-04-01,2,48
2015-05-01,2,50
2015-06-01,2,54
2015-07-01,2,56
2015-08-01,2,54
2015-09-01,2,50
2015-10-01,2,49
2015-11-01,2,48
2015-12-01,2,50
2016-01-01,2,53
2016-02-01,2,48
2016-03-01,2,49
2016-04-01,2,51
2016-05-01,2,51
2016-06-01,2,54
2016-07-01,2,57
2016-08-01,2,53
2016-09-01,2,53
2016-10-01,2,53
2016-11-01,2,55
2016-12-01,2,51
2017-01-01,2,57
