date,how to deactivate facebook account temporarily,how to delete a facebook account
2011-01-01,3,75
2011-02-01,2,62
2011-03-01,3,57
2011-04-01,3,51
2011-05-01,3,60
2011-06-01,4,61
2011-07-01,5,73
2011-08-01,8,84
2011-09-01,8,80
2011-10-01,4,85
2011-11-01,3,100
2011-12-01,5,91
2012-01-01,4,95
2012-02-01,4,94
2012-03-01,4,91
2012-04-01,4,65
2012-05-01,5,62
2012-06-01,4,72
2012-07-01,3,92
2012-08-01,4,87
2012-09-01,4,74
2012-10-01,4,60
2012-11-01,3,74
2012-12-01,5,79
2013-01-01,3,71
2013-02-01,4,65
2013-03-01,4,70
2013-04-01,5,73
2013-05-01,4,56
2013-06-01,4,60
2013-07-01,3,72
2013-08-01,5,71
2013-09-01,4,50
2013-10-01,5,52
2013-11-01,4,60
2013-12-01,4,71
2014-01-01,5,62
2014-02-01,3,51
2014-03-01,3,50
2014-04-01,3,60
2014-05-01,3,62
2014-06-01,3,56
2014-07-01,3,57
2014-08-01,4,62
2014-09-01,2,60
2014-10-01,3,54
2014-11-01,2,54
2014-12-01,2,58
2015-01-01,3,60
2015-02-01,2,60
2015-03-01,3,58
2015-04-01,2,66
2015-05-01,2,51
2015-06-01,2,51
2015-07-01,3,64
2015-08-01,3,72
2015-09-01,2,56
2015-10-01,2,46
2015-11-01,2,44
2015-12-01,2,49
2016-01-01,3,65
2016-02-01,3,59
2016-03-01,3,48
2016-04-01,2,52
2016-05-01,2,51
2016-06-01,4,70
2016-07-01,4,70
2016-08-01,2,56
2016-09-01,3,56
2016-10-01,3,56
2016-11-01,7,68
2016-12-01,3,59
2017-01-01,3,64
