date,how to delete a facebook profile,how to delete a facebook account
2011-01-01,7,75
2011-02-01,7,62
2011-03-01,7,57
2011-04-01,9,51
2011-05-01,8,60
2011-06-01,7,61
2011-07-01,9,73
2011-08-01,10,84
2011-09-01,8,80
2011-10-01,9,85
2011-11-01,9,100
2011-12-01,8,91
2012-01-01,9,95
2012-02-01,15,94
2012-03-01,19,91
2012-04-01,19,65
2012-05-01,14,62
2012-06-01,16,72
2012-07-01,17,92
2012-08-01,16,87
2012-09-01,13,74
2012-10-01,8,60
2012-11-01,8,74
2012-12-01,7,79
2013-01-01,7,71
2013-02-01,6,65
2013-03-01,7,70
2013-04-01,6,73
2013-05-01,5,56
2013-06-01,5,60
2013-07-01,5,72
2013-08-01,6,71
2013-09-01,5,50
2013-10-01,5,52
2013-11-01,4,60
2013-12-01,6,71
2014-01-01,6,62
2014-02-01,4,51
2014-03-01,5,50
2014-04-01,5,60
2014-05-01,5,62
2014-06-01,5,56
2014-07-01,5,57
2014-08-01,5,62
2014-09-01,5,60
2014-10-01,4,54
2014-11-01,5,54
2014-12-01,5,58
2015-01-01,5,60
2015-02-01,5,60
2015-03-01,5,58
2015-04-01,5,66
2015-05-01,5,51
2015-06-01,5,51
2015-07-01,6,64
2015-08-01,5,72
2015-09-01,5,56
2015-10-01,5,46
2015-11-01,5,44
2015-12-01,5,49
2016-01-01,6,65
2016-02-01,5,59
2016-03-01,6,48
2016-04-01,6,52
2016-05-01,6,51
2016-06-01,6,70
2016-07-01,6,70
2016-08-01,7,56
2016-09-01,5,56
2016-10-01,5,56
2016-11-01,6,68
2016-12-01,7,59
2017-01-01,7,64
