date,facebook widget for blogger,how to delete a twitter account
2011-01-01,6,10
2011-02-01,10,13
2011-03-01,6,18
2011-04-01,6,12
2011-05-01,7,20
2011-06-01,7,20
2011-07-01,7,32
2011-08-01,10,25
2011-09-01,7,23
2011-10-01,8,29
2011-11-01,9,34
2011-12-01,6,35
2012-01-01,10,40
2012-02-01,10,36
2012-03-01,10,39
2012-04-01,9,43
2012-05-01,8,39
2012-06-01,10,48
2012-07-01,9,46
2012-08-01,9,65
2012-09-01,8,58
2012-10-01,9,54
2012-11-01,8,52
2012-12-01,8,54
2013-01-01,8,68
2013-02-01,8,74
2013-03-01,7,54
2013-04-01,6,50
2013-05-01,6,57
2013-06-01,8,60
2013-07-01,9,59
2013-08-01,7,54
2013-09-01,7,54
2013-10-01,6,51
2013-11-01,7,51
2013-12-01,8,51
2014-01-01,8,67
2014-02-01,7,74
2014-03-01,8,66
2014-04-01,6,61
2014-05-01,5,55
2014-06-01,6,66
2014-07-01,5,74
2014-08-01,6,68
2014-09-01,4,63
2014-10-01,5,69
2014-11-01,5,63
2014-12-01,4,70
2015-01-01,5,83
2015-02-01,3,66
2015-03-01,4,63
2015-04-01,4,63
2015-05-01,4,73
2015-06-01,4,100
2015-07-01,4,73
2015-08-01,5,65
2015-09-01,4,65
2015-10-01,2,73
2015-11-01,4,71
2015-12-01,3,70
2016-01-01,3,71
2016-02-01,3,54
2016-03-01,3,60
2016-04-01,2,61
2016-05-01,3,65
2016-06-01,2,62
2016-07-01,2,67
2016-08-01,3,68
2016-09-01,3,61
2016-10-01,2,57
2016-11-01,2,57
2016-12-01,2,58
2017-01-01,2,71
