date,twitter search friends,how to delete a twitter account
2011-01-01,9,10
2011-02-01,8,13
2011-03-01,8,18
2011-04-01,6,12
2011-05-01,7,20
2011-06-01,8,20
2011-07-01,8,32
2011-08-01,11,25
2011-09-01,10,23
2011-10-01,10,29
2011-11-01,11,34
2011-12-01,8,35
2012-01-01,11,40
2012-02-01,11,36
2012-03-01,10,39
2012-04-01,12,43
2012-05-01,11,39
2012-06-01,10,48
2012-07-01,11,46
2012-08-01,13,65
2012-09-01,11,58
2012-10-01,9,54
2012-11-01,12,52
2012-12-01,8,54
2013-01-01,10,68
2013-02-01,9,74
2013-03-01,9,54
2013-04-01,13,50
2013-05-01,10,57
2013-06-01,10,60
2013-07-01,12,59
2013-08-01,9,54
2013-09-01,10,54
2013-10-01,10,51
2013-11-01,10,51
2013-12-01,13,51
2014-01-01,8,67
2014-02-01,7,74
2014-03-01,7,66
2014-04-01,8,61
2014-05-01,8,55
2014-06-01,9,66
2014-07-01,10,74
2014-08-01,8,68
2014-09-01,11,63
2014-10-01,9,69
2014-11-01,7,63
2014-12-01,9,70
2015-01-01,11,83
2015-02-01,9,66
2015-03-01,5,63
2015-04-01,7,63
2015-05-01,6,73
2015-06-01,6,100
2015-07-01,6,73
2015-08-01,7,65
2015-09-01,6,65
2015-10-01,6,73
2015-11-01,8,71
2015-12-01,7,70
2016-01-01,10,71
2016-02-01,6,54
2016-03-01,6,60
2016-04-01,6,61
2016-05-01,6,65
2016-06-01,7,62
2016-07-01,6,67
2016-08-01,6,68
2016-09-01,5,61
2016-10-01,6,57
2016-11-01,5,57
2016-12-01,6,58
2017-01-01,6,71
