date,i want to delete my youtube account,how to delete a youtube account
2011-01-01,0,28
2011-02-01,0,34
2011-03-01,0,39
2011-04-01,0,37
2011-05-01,0,39
2011-06-01,0,37
2011-07-01,0,55
2011-08-01,0,60
2011-09-01,0,46
2011-10-01,0,51
2011-11-01,0,54
2011-12-01,0,61
2012-01-01,0,59
2012-02-01,0,51
2012-03-01,0,50
2012-04-01,0,77
2012-05-01,0,65
2012-06-01,0,65
2012-07-01,0,81
2012-08-01,0,77
2012-09-01,0,55
2012-10-01,0,61
2012-11-01,0,62
2012-12-01,0,65
2013-01-01,0,78
2013-02-01,0,68
2013-03-01,0,63
2013-04-01,0,68
2013-05-01,0,65
2013-06-01,0,73
2013-07-01,0,83
2013-08-01,0,100
2013-09-01,0,66
2013-10-01,0,54
2013-11-01,0,54
2013-12-01,0,60
2014-01-01,0,64
2014-02-01,0,59
2014-03-01,0,65
2014-04-01,0,58
2014-05-01,0,55
2014-06-01,0,55
2014-07-01,0,70
2014-08-01,0,65
2014-09-01,0,49
2014-10-01,0,45
2014-11-01,0,54
2014-12-01,0,51
2015-01-01,0,59
2015-02-01,0,44
2015-03-01,0,46
2015-04-01,0,50
2015-05-01,0,51
2015-06-01,0,57
2015-07-01,0,53
2015-08-01,0,52
2015-09-01,0,40
2015-10-01,0,36
2015-11-01,0,41
2015-12-01,0,45
2016-01-01,0,47
2016-02-01,0,45
2016-03-01,0,40
2016-04-01,0,44
2016-05-01,0,36
2016-06-01,0,46
2016-07-01,0,50
2016-08-01,0,48
2016-09-01,0,38
2016-10-01,0,35
2016-11-01,0,36
2016-12-01,0,41
2017-01-01,0,45
