date,Delete instagram account,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,1,0
2011-08-01,0,0
2011-09-01,1,0
2011-10-01,1,0
2011-11-01,2,0
2011-12-01,2,0
2012-01-01,3,0
2012-02-01,3,0
2012-03-01,5,0
2012-04-01,13,0
2012-05-01,11,1
2012-06-01,13,1
2012-07-01,16,1
2012-08-01,14,1
2012-09-01,14,1
2012-10-01,16,1
2012-11-01,15,1
2012-12-01,31,1
2013-01-01,34,2
2013-02-01,35,2
2013-03-01,22,2
2013-04-01,20,2
2013-05-01,25,2
2013-06-01,35,3
2013-07-01,26,2
2013-08-01,25,3
2013-09-01,23,2
2013-10-01,24,2
2013-11-01,20,1
2013-12-01,21,2
2014-01-01,28,3
2014-02-01,34,2
2014-03-01,29,2
2014-04-01,26,2
2014-05-01,26,2
2014-06-01,40,2
2014-07-01,42,3
2014-08-01,33,3
2014-09-01,25,2
2014-10-01,26,2
2014-11-01,36,3
2014-12-01,40,3
2015-01-01,42,4
2015-02-01,34,3
2015-03-01,34,3
2015-04-01,37,3
2015-05-01,40,3
2015-06-01,43,3
2015-07-01,55,5
2015-08-01,62,4
2015-09-01,61,3
2015-10-01,54,4
2015-11-01,51,3
2015-12-01,55,4
2016-01-01,65,4
2016-02-01,76,4
2016-03-01,65,4
2016-04-01,59,4
2016-05-01,65,4
2016-06-01,92,5
2016-07-01,98,6
2016-08-01,74,4
2016-09-01,70,3
2016-10-01,88,4
2016-11-01,100,4
2016-12-01,90,5
2017-01-01,92,5
