date,chat secure
2011-01-01,39
2011-02-01,53
2011-03-01,64
2011-04-01,59
2011-05-01,53
2011-06-01,47
2011-07-01,46
2011-08-01,50
2011-09-01,59
2011-10-01,55
2011-11-01,34
2011-12-01,47
2012-01-01,44
2012-02-01,50
2012-03-01,36
2012-04-01,41
2012-05-01,44
2012-06-01,53
2012-07-01,73
2012-08-01,54
2012-09-01,47
2012-10-01,58
2012-11-01,49
2012-12-01,49
2013-01-01,53
2013-02-01,48
2013-03-01,55
2013-04-01,54
2013-05-01,65
2013-06-01,72
2013-07-01,78
2013-08-01,71
2013-09-01,61
2013-10-01,65
2013-11-01,70
2013-12-01,68
2014-01-01,74
2014-02-01,100
2014-03-01,79
2014-04-01,72
2014-05-01,69
2014-06-01,69
2014-07-01,73
2014-08-01,82
2014-09-01,81
2014-10-01,78
2014-11-01,75
2014-12-01,79
2015-01-01,88
2015-02-01,88
2015-03-01,84
2015-04-01,76
2015-05-01,76
2015-06-01,68
2015-07-01,73
2015-08-01,80
2015-09-01,90
2015-10-01,69
2015-11-01,87
2015-12-01,81
2016-01-01,87
2016-02-01,61
2016-03-01,76
2016-04-01,100
2016-05-01,67
2016-06-01,76
2016-07-01,71
2016-08-01,86
2016-09-01,87
2016-10-01,84
2016-11-01,83
2016-12-01,75
2017-01-01,83
