date,Privacy policy on Facebook app,facebook app privacy policy
2011-01-01,0,11
2011-02-01,0,19
2011-03-01,0,31
2011-04-01,0,27
2011-05-01,0,27
2011-06-01,0,28
2011-07-01,0,63
2011-08-01,0,30
2011-09-01,0,23
2011-10-01,0,9
2011-11-01,0,9
2011-12-01,0,21
2012-01-01,0,17
2012-02-01,0,29
2012-03-01,0,30
2012-04-01,0,100
2012-05-01,0,29
2012-06-01,0,19
2012-07-01,0,41
2012-08-01,0,24
2012-09-01,0,27
2012-10-01,0,31
2012-11-01,0,46
2012-12-01,0,42
2013-01-01,0,38
2013-02-01,0,64
2013-03-01,0,35
2013-04-01,0,22
2013-05-01,0,32
2013-06-01,0,24
2013-07-01,0,33
2013-08-01,0,30
2013-09-01,0,21
2013-10-01,0,26
2013-11-01,0,20
2013-12-01,0,29
2014-01-01,0,27
2014-02-01,0,40
2014-03-01,0,22
2014-04-01,0,27
2014-05-01,0,31
2014-06-01,0,46
2014-07-01,0,40
2014-08-01,0,72
2014-09-01,0,51
2014-10-01,0,40
2014-11-01,0,22
2014-12-01,0,25
2015-01-01,0,37
2015-02-01,0,29
2015-03-01,0,36
2015-04-01,0,22
2015-05-01,0,23
2015-06-01,0,29
2015-07-01,0,31
2015-08-01,0,32
2015-09-01,0,37
2015-10-01,0,30
2015-11-01,0,24
2015-12-01,0,29
2016-01-01,0,15
2016-02-01,0,19
2016-03-01,0,27
2016-04-01,0,28
2016-05-01,0,33
2016-06-01,0,22
2016-07-01,0,38
2016-08-01,0,36
2016-09-01,0,18
2016-10-01,0,31
2016-11-01,0,18
2016-12-01,0,29
2017-01-01,0,44
