date,phone protection,delete hangout history
2011-01-01,61,0
2011-02-01,67,0
2011-03-01,54,0
2011-04-01,56,0
2011-05-01,65,0
2011-06-01,69,0
2011-07-01,66,0
2011-08-01,70,0
2011-09-01,63,0
2011-10-01,65,0
2011-11-01,60,0
2011-12-01,68,0
2012-01-01,64,0
2012-02-01,61,0
2012-03-01,58,0
2012-04-01,63,0
2012-05-01,59,0
2012-06-01,71,0
2012-07-01,74,0
2012-08-01,70,0
2012-09-01,69,0
2012-10-01,65,0
2012-11-01,68,0
2012-12-01,74,0
2013-01-01,70,0
2013-02-01,66,0
2013-03-01,63,0
2013-04-01,64,0
2013-05-01,68,1
2013-06-01,72,1
2013-07-01,71,2
2013-08-01,72,2
2013-09-01,76,2
2013-10-01,70,1
2013-11-01,74,1
2013-12-01,78,2
2014-01-01,78,2
2014-02-01,72,2
2014-03-01,79,2
2014-04-01,77,2
2014-05-01,69,2
2014-06-01,72,2
2014-07-01,80,2
2014-08-01,80,2
2014-09-01,82,2
2014-10-01,85,2
2014-11-01,78,2
2014-12-01,84,2
2015-01-01,80,2
2015-02-01,82,2
2015-03-01,80,2
2015-04-01,79,2
2015-05-01,77,2
2015-06-01,81,2
2015-07-01,94,2
2015-08-01,91,2
2015-09-01,92,2
2015-10-01,90,1
2015-11-01,86,2
2015-12-01,96,2
2016-01-01,93,2
2016-02-01,87,1
2016-03-01,92,1
2016-04-01,87,1
2016-05-01,86,1
2016-06-01,95,1
2016-07-01,97,1
2016-08-01,100,1
2016-09-01,98,1
2016-10-01,97,1
2016-11-01,96,1
2016-12-01,91,1
2017-01-01,97,1
