date,how to delete facebook account permanently immediately,how to delete a facebook account
2011-01-01,0,75
2011-02-01,0,62
2011-03-01,1,57
2011-04-01,1,51
2011-05-01,1,60
2011-06-01,1,61
2011-07-01,1,73
2011-08-01,2,84
2011-09-01,3,80
2011-10-01,3,85
2011-11-01,3,100
2011-12-01,8,91
2012-01-01,7,95
2012-02-01,7,94
2012-03-01,4,91
2012-04-01,1,65
2012-05-01,1,62
2012-06-01,2,72
2012-07-01,1,92
2012-08-01,2,87
2012-09-01,1,74
2012-10-01,1,60
2012-11-01,2,74
2012-12-01,3,79
2013-01-01,1,71
2013-02-01,2,65
2013-03-01,2,70
2013-04-01,2,73
2013-05-01,3,56
2013-06-01,2,60
2013-07-01,1,72
2013-08-01,4,71
2013-09-01,2,50
2013-10-01,3,52
2013-11-01,2,60
2013-12-01,1,71
2014-01-01,1,62
2014-02-01,2,51
2014-03-01,1,50
2014-04-01,2,60
2014-05-01,1,62
2014-06-01,3,56
2014-07-01,3,57
2014-08-01,3,62
2014-09-01,2,60
2014-10-01,2,54
2014-11-01,1,54
2014-12-01,1,58
2015-01-01,2,60
2015-02-01,2,60
2015-03-01,7,58
2015-04-01,5,66
2015-05-01,3,51
2015-06-01,3,51
2015-07-01,3,64
2015-08-01,3,72
2015-09-01,3,56
2015-10-01,4,46
2015-11-01,3,44
2015-12-01,4,49
2016-01-01,3,65
2016-02-01,2,59
2016-03-01,3,48
2016-04-01,3,52
2016-05-01,3,51
2016-06-01,4,70
2016-07-01,4,70
2016-08-01,3,56
2016-09-01,4,56
2016-10-01,3,56
2016-11-01,2,68
2016-12-01,2,59
2017-01-01,2,64
