date,how to delete a facebook account
2011-01-01,76
2011-02-01,58
2011-03-01,57
2011-04-01,51
2011-05-01,58
2011-06-01,62
2011-07-01,68
2011-08-01,79
2011-09-01,79
2011-10-01,84
2011-11-01,99
2011-12-01,86
2012-01-01,95
2012-02-01,100
2012-03-01,91
2012-04-01,65
2012-05-01,63
2012-06-01,68
2012-07-01,88
2012-08-01,85
2012-09-01,70
2012-10-01,65
2012-11-01,76
2012-12-01,78
2013-01-01,71
2013-02-01,63
2013-03-01,69
2013-04-01,72
2013-05-01,54
2013-06-01,54
2013-07-01,77
2013-08-01,67
2013-09-01,51
2013-10-01,51
2013-11-01,55
2013-12-01,73
2014-01-01,63
2014-02-01,47
2014-03-01,49
2014-04-01,59
2014-05-01,62
2014-06-01,54
2014-07-01,56
2014-08-01,60
2014-09-01,57
2014-10-01,56
2014-11-01,56
2014-12-01,55
2015-01-01,58
2015-02-01,57
2015-03-01,57
2015-04-01,63
2015-05-01,52
2015-06-01,49
2015-07-01,63
2015-08-01,68
2015-09-01,58
2015-10-01,45
2015-11-01,45
2015-12-01,51
2016-01-01,61
2016-02-01,60
2016-03-01,49
2016-04-01,51
2016-05-01,52
2016-06-01,71
2016-07-01,69
2016-08-01,56
2016-09-01,56
2016-10-01,56
2016-11-01,68
2016-12-01,60
2017-01-01,65
