date,my instagram was deleted,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,1
2011-09-01,0,1
2011-10-01,0,3
2011-11-01,0,4
2011-12-01,0,2
2012-01-01,1,3
2012-02-01,1,4
2012-03-01,1,2
2012-04-01,2,8
2012-05-01,2,9
2012-06-01,1,14
2012-07-01,1,20
2012-08-01,1,26
2012-09-01,1,24
2012-10-01,2,22
2012-11-01,2,23
2012-12-01,2,29
2013-01-01,2,35
2013-02-01,2,33
2013-03-01,1,33
2013-04-01,5,34
2013-05-01,6,34
2013-06-01,4,51
2013-07-01,4,46
2013-08-01,2,43
2013-09-01,2,27
2013-10-01,1,31
2013-11-01,3,33
2013-12-01,2,46
2014-01-01,2,42
2014-02-01,1,43
2014-03-01,2,40
2014-04-01,2,53
2014-05-01,2,44
2014-06-01,2,54
2014-07-01,2,62
2014-08-01,2,47
2014-09-01,4,39
2014-10-01,2,39
2014-11-01,1,49
2014-12-01,2,58
2015-01-01,2,65
2015-02-01,2,54
2015-03-01,3,57
2015-04-01,2,65
2015-05-01,5,52
2015-06-01,4,61
2015-07-01,6,100
2015-08-01,2,86
2015-09-01,2,73
2015-10-01,2,63
2015-11-01,1,59
2015-12-01,3,66
2016-01-01,3,92
2016-02-01,1,74
2016-03-01,2,83
2016-04-01,1,70
2016-05-01,3,77
2016-06-01,5,98
2016-07-01,4,94
2016-08-01,3,84
2016-09-01,3,82
2016-10-01,4,80
2016-11-01,4,92
2016-12-01,5,100
2017-01-01,6,99
