date,deactivate facebook account temporarily,deactivate facebook what happens,delete account,delete fb,delete my account,delete your account page,how do i deactivate my facebook account,how to deactivate facebook account permanently,how to delete a facebook profile,how to delete facebook account forever,how to delete facebook account permanently,how to delete facebook,how to reactivate facebook account,what happens when you deactivate facebook,Row Total
1/1/11,0,1,116,2,17,0,0,0,0,1,2,63,1,1,204
2/1/11,0,1,103,2,16,0,0,0,0,1,1,57,1,0,182
3/1/11,0,1,94,3,14,0,0,0,0,1,1,55,1,0,170
4/1/11,0,1,101,3,15,0,0,0,1,1,2,59,1,0,184
5/1/11,0,1,98,3,16,0,0,0,0,1,2,61,1,0,183
6/1/11,0,1,110,3,18,0,0,0,0,1,2,67,1,1,204
7/1/11,0,1,119,4,19,0,0,0,1,1,2,73,1,1,222
8/1/11,1,1,128,4,21,0,1,0,1,2,2,87,1,0,249
9/1/11,1,1,119,4,20,0,1,0,0,1,2,84,0,0,233
10/1/11,0,1,123,4,20,0,1,0,1,0,2,87,1,0,240
11/1/11,0,1,126,4,21,0,1,0,1,0,2,92,0,0,248
12/1/11,0,1,132,5,22,0,1,0,0,0,2,100,0,0,263
1/1/12,0,1,135,5,23,0,1,0,1,0,2,99,1,1,269
2/1/12,0,1,128,5,21,0,1,0,1,0,3,99,1,0,260
3/1/12,0,1,126,5,21,0,1,0,1,1,3,100,0,0,259
4/1/12,0,1,130,5,21,0,1,0,1,0,3,91,0,0,253
5/1/12,0,1,126,5,21,0,1,0,1,0,3,86,1,0,245
6/1/12,0,1,135,6,22,0,1,0,1,0,2,88,0,0,256
7/1/12,0,1,141,6,23,0,1,0,1,0,3,84,0,0,260
8/1/12,0,1,141,7,24,0,0,1,1,0,2,90,1,0,268
9/1/12,0,1,132,7,22,0,0,0,1,0,2,88,1,0,254
10/1/12,0,0,128,7,22,0,1,0,1,0,2,79,0,0,240
11/1/12,0,1,128,7,21,0,1,0,0,0,2,72,0,0,232
12/1/12,0,1,144,8,23,0,0,0,0,0,2,81,0,0,259
1/1/13,0,1,146,7,24,0,0,0,0,0,2,79,0,0,259
2/1/13,0,1,148,7,25,0,1,0,0,0,2,72,0,0,256
3/1/13,0,1,139,7,24,0,1,0,0,0,2,67,0,0,241
4/1/13,0,1,141,7,23,0,0,0,0,0,2,65,0,0,239
5/1/13,0,1,141,7,22,0,0,1,0,0,2,61,0,0,235
6/1/13,0,1,157,7,25,0,0,0,0,0,2,62,0,0,254
7/1/13,0,1,160,7,27,0,1,0,0,0,2,62,1,0,261
8/1/13,0,1,160,7,27,0,0,0,0,0,2,62,1,0,260
9/1/13,0,1,148,7,25,0,0,0,0,0,3,59,0,0,243
10/1/13,0,1,144,7,24,0,0,0,0,0,2,55,1,0,234
11/1/13,0,1,146,7,24,0,1,0,0,0,2,54,0,0,235
12/1/13,0,1,160,7,26,0,0,0,0,0,2,57,1,0,254
1/1/14,0,1,171,8,28,0,0,0,0,0,2,60,0,0,270
2/1/14,0,1,162,8,26,0,0,0,0,0,3,56,1,0,257
3/1/14,0,1,160,7,27,0,0,0,0,0,2,54,0,0,251
4/1/14,0,1,160,8,26,0,0,0,0,0,2,54,1,0,252
5/1/14,0,1,162,9,26,0,0,0,0,0,2,53,1,0,254
6/1/14,0,1,169,9,27,0,0,0,0,0,3,57,1,0,267
7/1/14,0,1,178,9,28,0,0,0,0,0,2,59,1,0,278
8/1/14,0,1,180,10,29,0,1,0,0,0,2,63,1,0,287
9/1/14,0,1,171,9,27,0,0,0,0,0,2,56,0,0,266
10/1/14,0,1,164,8,25,0,0,0,0,0,2,52,0,0,252
11/1/14,0,1,164,8,25,0,0,0,0,0,2,51,0,0,251
12/1/14,0,1,173,9,27,0,0,0,0,0,2,52,0,0,264
1/1/15,0,1,180,9,28,0,0,0,0,0,2,55,1,0,276
2/1/15,0,1,166,9,26,0,0,0,0,0,2,51,0,0,255
3/1/15,0,1,164,8,25,0,0,0,0,0,2,50,0,0,250
4/1/15,0,1,160,9,25,0,0,0,0,0,2,49,0,0,246
5/1/15,0,1,157,10,24,0,0,0,0,0,3,50,0,0,245
6/1/15,0,1,169,11,27,0,0,0,0,0,2,55,1,0,266
7/1/15,0,1,189,11,29,0,1,0,0,0,2,57,1,0,291
8/1/15,0,1,191,10,30,0,0,0,0,0,2,55,1,0,290
9/1/15,0,1,173,11,28,0,0,0,0,0,3,50,0,0,266
10/1/15,0,1,164,10,26,0,0,0,0,0,2,50,0,0,253
11/1/15,0,0,162,10,25,0,1,0,0,0,2,48,0,0,248
12/1/15,0,1,178,10,27,0,1,0,0,0,2,51,0,0,270
1/1/16,0,1,191,10,28,0,0,0,0,0,2,54,0,0,286
2/1/16,0,1,180,10,26,0,0,0,0,0,3,48,1,0,269
3/1/16,0,0,173,11,26,0,0,0,0,0,2,49,0,0,261
4/1/16,0,1,176,12,26,0,0,0,0,0,2,51,1,0,269
5/1/16,0,1,178,12,27,0,1,0,0,0,2,52,1,0,274
6/1/16,0,1,210,13,31,0,0,0,0,0,2,55,0,0,312
7/1/16,0,1,228,14,33,0,0,0,0,0,3,57,0,0,336
8/1/16,0,1,205,15,30,0,0,0,0,0,4,55,1,0,311
9/1/16,0,1,198,13,30,0,0,0,0,0,2,54,1,0,299
10/1/16,0,1,201,13,30,0,1,0,0,0,2,53,1,0,302
11/1/16,1,1,203,13,31,1,0,0,0,0,3,55,1,0,309
12/1/16,0,1,214,16,32,1,0,0,0,0,5,52,1,0,322
1/1/17,0,1,219,16,34,1,0,0,0,0,5,58,1,0,335
