date,if you delete someone on snapchat can they still snap you
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,30
2013-05-01,29
2013-06-01,33
2013-07-01,36
2013-08-01,40
2013-09-01,43
2013-10-01,27
2013-11-01,28
2013-12-01,26
2014-01-01,26
2014-02-01,38
2014-03-01,51
2014-04-01,26
2014-05-01,27
2014-06-01,30
2014-07-01,36
2014-08-01,43
2014-09-01,28
2014-10-01,53
2014-11-01,40
2014-12-01,27
2015-01-01,25
2015-02-01,54
2015-03-01,49
2015-04-01,50
2015-05-01,85
2015-06-01,25
2015-07-01,49
2015-08-01,48
2015-09-01,24
2015-10-01,57
2015-11-01,46
2015-12-01,59
2016-01-01,22
2016-02-01,66
2016-03-01,41
2016-04-01,86
2016-05-01,52
2016-06-01,86
2016-07-01,87
2016-08-01,53
2016-09-01,42
2016-10-01,69
2016-11-01,70
2016-12-01,100
2017-01-01,57
