date,create new google account
2011-01-01,15
2011-02-01,14
2011-03-01,15
2011-04-01,16
2011-05-01,22
2011-06-01,23
2011-07-01,36
2011-08-01,32
2011-09-01,34
2011-10-01,31
2011-11-01,33
2011-12-01,31
2012-01-01,28
2012-02-01,27
2012-03-01,25
2012-04-01,26
2012-05-01,33
2012-06-01,33
2012-07-01,36
2012-08-01,38
2012-09-01,38
2012-10-01,32
2012-11-01,35
2012-12-01,40
2013-01-01,37
2013-02-01,41
2013-03-01,44
2013-04-01,41
2013-05-01,46
2013-06-01,47
2013-07-01,60
2013-08-01,60
2013-09-01,54
2013-10-01,61
2013-11-01,55
2013-12-01,70
2014-01-01,66
2014-02-01,62
2014-03-01,62
2014-04-01,69
2014-05-01,65
2014-06-01,66
2014-07-01,66
2014-08-01,73
2014-09-01,71
2014-10-01,69
2014-11-01,68
2014-12-01,68
2015-01-01,65
2015-02-01,67
2015-03-01,83
2015-04-01,71
2015-05-01,71
2015-06-01,73
2015-07-01,66
2015-08-01,71
2015-09-01,81
2015-10-01,65
2015-11-01,70
2015-12-01,67
2016-01-01,70
2016-02-01,67
2016-03-01,68
2016-04-01,65
2016-05-01,66
2016-06-01,68
2016-07-01,78
2016-08-01,80
2016-09-01,77
2016-10-01,82
2016-11-01,93
2016-12-01,100
2017-01-01,89
