date,unlistedleaf booster box,youtube private channel
2011-01-01,0,42
2011-02-01,0,35
2011-03-01,0,27
2011-04-01,0,41
2011-05-01,0,32
2011-06-01,0,43
2011-07-01,0,42
2011-08-01,0,50
2011-09-01,0,58
2011-10-01,0,50
2011-11-01,0,54
2011-12-01,0,75
2012-01-01,0,67
2012-02-01,0,63
2012-03-01,0,73
2012-04-01,0,60
2012-05-01,0,64
2012-06-01,0,62
2012-07-01,0,61
2012-08-01,0,71
2012-09-01,0,73
2012-10-01,0,61
2012-11-01,0,63
2012-12-01,0,68
2013-01-01,0,82
2013-02-01,0,77
2013-03-01,0,79
2013-04-01,0,76
2013-05-01,0,64
2013-06-01,0,67
2013-07-01,0,81
2013-08-01,0,100
2013-09-01,0,82
2013-10-01,0,72
2013-11-01,0,65
2013-12-01,0,85
2014-01-01,1,76
2014-02-01,2,80
2014-03-01,2,74
2014-04-01,2,70
2014-05-01,3,60
2014-06-01,2,59
2014-07-01,2,64
2014-08-01,3,66
2014-09-01,4,59
2014-10-01,2,58
2014-11-01,6,67
2014-12-01,4,69
2015-01-01,4,63
2015-02-01,3,70
2015-03-01,6,73
2015-04-01,2,64
2015-05-01,4,76
2015-06-01,5,61
2015-07-01,4,63
2015-08-01,6,69
2015-09-01,3,55
2015-10-01,4,59
2015-11-01,8,61
2015-12-01,5,63
2016-01-01,6,74
2016-02-01,9,51
2016-03-01,6,69
2016-04-01,8,64
2016-05-01,7,60
2016-06-01,10,58
2016-07-01,8,58
2016-08-01,8,63
2016-09-01,12,52
2016-10-01,9,63
2016-11-01,11,59
2016-12-01,9,61
2017-01-01,7,77
