date,how to retrieve deleted hangout messages,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,27
2011-12-01,0,24
2012-01-01,0,24
2012-02-01,0,36
2012-03-01,0,48
2012-04-01,0,25
2012-05-01,0,23
2012-06-01,0,24
2012-07-01,0,24
2012-08-01,0,48
2012-09-01,0,43
2012-10-01,0,43
2012-11-01,0,21
2012-12-01,0,22
2013-01-01,0,20
2013-02-01,0,22
2013-03-01,0,19
2013-04-01,0,29
2013-05-01,0,44
2013-06-01,0,59
2013-07-01,0,57
2013-08-01,38,45
2013-09-01,17,19
2013-10-01,17,36
2013-11-01,18,48
2013-12-01,18,48
2014-01-01,16,45
2014-02-01,16,56
2014-03-01,16,100
2014-04-01,25,51
2014-05-01,17,78
2014-06-01,18,45
2014-07-01,18,56
2014-08-01,24,50
2014-09-01,26,72
2014-10-01,50,63
2014-11-01,34,17
2014-12-01,21,40
2015-01-01,21,70
2015-02-01,21,47
2015-03-01,21,43
2015-04-01,32,41
2015-05-01,21,74
2015-06-01,16,38
2015-07-01,31,58
2015-08-01,15,53
2015-09-01,38,72
2015-10-01,24,49
2015-11-01,27,60
2015-12-01,30,30
2016-01-01,21,44
2016-02-01,21,48
2016-03-01,26,53
2016-04-01,27,28
2016-05-01,22,34
2016-06-01,18,21
2016-07-01,27,42
2016-08-01,20,34
2016-09-01,67,50
2016-10-01,25,47
2016-11-01,34,39
2016-12-01,25,52
2017-01-01,20,29
