date,delete YouTube
2011-01-01,53
2011-02-01,50
2011-03-01,53
2011-04-01,52
2011-05-01,53
2011-06-01,71
2011-07-01,79
2011-08-01,77
2011-09-01,70
2011-10-01,72
2011-11-01,71
2011-12-01,95
2012-01-01,88
2012-02-01,77
2012-03-01,75
2012-04-01,75
2012-05-01,73
2012-06-01,80
2012-07-01,84
2012-08-01,82
2012-09-01,85
2012-10-01,80
2012-11-01,83
2012-12-01,97
2013-01-01,91
2013-02-01,93
2013-03-01,88
2013-04-01,91
2013-05-01,89
2013-06-01,88
2013-07-01,94
2013-08-01,99
2013-09-01,89
2013-10-01,83
2013-11-01,85
2013-12-01,91
2014-01-01,91
2014-02-01,81
2014-03-01,86
2014-04-01,86
2014-05-01,83
2014-06-01,84
2014-07-01,96
2014-08-01,100
2014-09-01,90
2014-10-01,85
2014-11-01,89
2014-12-01,89
2015-01-01,90
2015-02-01,82
2015-03-01,79
2015-04-01,83
2015-05-01,79
2015-06-01,84
2015-07-01,85
2015-08-01,89
2015-09-01,79
2015-10-01,75
2015-11-01,75
2015-12-01,83
2016-01-01,83
2016-02-01,74
2016-03-01,73
2016-04-01,72
2016-05-01,72
2016-06-01,74
2016-07-01,77
2016-08-01,78
2016-09-01,76
2016-10-01,72
2016-11-01,74
2016-12-01,79
2017-01-01,81
