date,Unfriending facebook,facebook delete friends
2011-01-01,2,88
2011-02-01,2,68
2011-03-01,2,55
2011-04-01,2,53
2011-05-01,2,53
2011-06-01,2,55
2011-07-01,2,61
2011-08-01,3,59
2011-09-01,3,65
2011-10-01,3,74
2011-11-01,3,68
2011-12-01,3,84
2012-01-01,4,95
2012-02-01,5,87
2012-03-01,12,84
2012-04-01,4,93
2012-05-01,3,91
2012-06-01,3,100
2012-07-01,4,96
2012-08-01,4,93
2012-09-01,4,86
2012-10-01,5,91
2012-11-01,4,69
2012-12-01,4,46
2013-01-01,5,39
2013-02-01,5,37
2013-03-01,5,34
2013-04-01,5,32
2013-05-01,4,28
2013-06-01,4,26
2013-07-01,4,26
2013-08-01,4,26
2013-09-01,4,24
2013-10-01,4,22
2013-11-01,4,21
2013-12-01,4,20
2014-01-01,5,22
2014-02-01,4,19
2014-03-01,4,21
2014-04-01,5,21
2014-05-01,5,22
2014-06-01,5,21
2014-07-01,5,22
2014-08-01,5,23
2014-09-01,4,19
2014-10-01,4,18
2014-11-01,4,17
2014-12-01,5,19
2015-01-01,4,18
2015-02-01,3,17
2015-03-01,4,16
2015-04-01,5,16
2015-05-01,5,16
2015-06-01,5,17
2015-07-01,6,18
2015-08-01,5,17
2015-09-01,5,16
2015-10-01,5,15
2015-11-01,5,15
2015-12-01,5,15
2016-01-01,5,16
2016-02-01,5,16
2016-03-01,4,15
2016-04-01,5,15
2016-05-01,4,16
2016-06-01,4,16
2016-07-01,5,17
2016-08-01,5,17
2016-09-01,4,16
2016-10-01,5,16
2016-11-01,7,17
2016-12-01,4,16
2017-01-01,6,17
