date,epic privacy browser
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,2
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,0
2013-05-01,0
2013-06-01,0
2013-07-01,0
2013-08-01,0
2013-09-01,45
2013-10-01,23
2013-11-01,19
2013-12-01,26
2014-01-01,23
2014-02-01,20
2014-03-01,24
2014-04-01,33
2014-05-01,18
2014-06-01,16
2014-07-01,24
2014-08-01,35
2014-09-01,34
2014-10-01,36
2014-11-01,63
2014-12-01,56
2015-01-01,78
2015-02-01,53
2015-03-01,70
2015-04-01,81
2015-05-01,61
2015-06-01,50
2015-07-01,73
2015-08-01,82
2015-09-01,53
2015-10-01,71
2015-11-01,78
2015-12-01,68
2016-01-01,95
2016-02-01,74
2016-03-01,70
2016-04-01,81
2016-05-01,75
2016-06-01,74
2016-07-01,71
2016-08-01,65
2016-09-01,77
2016-10-01,76
2016-11-01,100
2016-12-01,87
2017-01-01,82
