date,how to hide friend list on facebook from mobile,how to change facebook privacy settings
2011-01-01,0,21
2011-02-01,0,14
2011-03-01,0,24
2011-04-01,0,15
2011-05-01,0,13
2011-06-01,0,23
2011-07-01,0,20
2011-08-01,0,32
2011-09-01,0,63
2011-10-01,2,47
2011-11-01,0,41
2011-12-01,0,39
2012-01-01,0,37
2012-02-01,0,52
2012-03-01,0,42
2012-04-01,0,44
2012-05-01,1,51
2012-06-01,1,43
2012-07-01,1,30
2012-08-01,1,81
2012-09-01,1,100
2012-10-01,1,95
2012-11-01,1,65
2012-12-01,1,66
2013-01-01,1,59
2013-02-01,3,49
2013-03-01,1,53
2013-04-01,1,41
2013-05-01,1,40
2013-06-01,1,49
2013-07-01,1,48
2013-08-01,1,49
2013-09-01,2,47
2013-10-01,1,48
2013-11-01,1,35
2013-12-01,2,37
2014-01-01,2,43
2014-02-01,2,27
2014-03-01,2,34
2014-04-01,1,36
2014-05-01,1,35
2014-06-01,1,36
2014-07-01,1,29
2014-08-01,2,45
2014-09-01,1,31
2014-10-01,1,37
2014-11-01,4,27
2014-12-01,3,25
2015-01-01,1,34
2015-02-01,1,32
2015-03-01,2,31
2015-04-01,3,34
2015-05-01,2,32
2015-06-01,3,31
2015-07-01,1,35
2015-08-01,1,39
2015-09-01,2,31
2015-10-01,1,22
2015-11-01,2,28
2015-12-01,3,33
2016-01-01,5,32
2016-02-01,4,25
2016-03-01,4,26
2016-04-01,3,25
2016-05-01,6,27
2016-06-01,6,26
2016-07-01,3,38
2016-08-01,4,34
2016-09-01,5,28
2016-10-01,10,30
2016-11-01,14,25
2016-12-01,19,24
2017-01-01,9,31
