date,how to hide one friend on facebook,how to change facebook privacy settings
2011-01-01,6,21
2011-02-01,7,12
2011-03-01,6,22
2011-04-01,3,14
2011-05-01,7,17
2011-06-01,6,22
2011-07-01,8,20
2011-08-01,6,29
2011-09-01,6,60
2011-10-01,6,55
2011-11-01,4,48
2011-12-01,8,42
2012-01-01,10,39
2012-02-01,5,51
2012-03-01,6,41
2012-04-01,6,51
2012-05-01,9,48
2012-06-01,8,44
2012-07-01,9,41
2012-08-01,6,75
2012-09-01,6,100
2012-10-01,7,90
2012-11-01,5,66
2012-12-01,7,64
2013-01-01,7,54
2013-02-01,7,50
2013-03-01,7,49
2013-04-01,7,42
2013-05-01,3,44
2013-06-01,5,50
2013-07-01,7,51
2013-08-01,5,45
2013-09-01,5,47
2013-10-01,2,48
2013-11-01,6,38
2013-12-01,7,39
2014-01-01,5,40
2014-02-01,5,28
2014-03-01,3,33
2014-04-01,7,38
2014-05-01,3,36
2014-06-01,5,37
2014-07-01,6,32
2014-08-01,5,47
2014-09-01,4,32
2014-10-01,6,36
2014-11-01,6,28
2014-12-01,2,27
2015-01-01,5,34
2015-02-01,5,29
2015-03-01,4,29
2015-04-01,3,32
2015-05-01,3,33
2015-06-01,8,34
2015-07-01,7,34
2015-08-01,6,36
2015-09-01,5,29
2015-10-01,5,24
2015-11-01,4,31
2015-12-01,7,32
2016-01-01,5,33
2016-02-01,5,29
2016-03-01,6,27
2016-04-01,3,25
2016-05-01,9,26
2016-06-01,5,30
2016-07-01,5,35
2016-08-01,4,33
2016-09-01,5,28
2016-10-01,6,28
2016-11-01,7,26
2016-12-01,5,25
2017-01-01,7,29
