date,verisign symantec,how to change facebook privacy settings
2011-01-01,27,21
2011-02-01,16,12
2011-03-01,19,22
2011-04-01,20,14
2011-05-01,24,17
2011-06-01,14,22
2011-07-01,23,20
2011-08-01,22,29
2011-09-01,19,60
2011-10-01,20,55
2011-11-01,22,48
2011-12-01,19,42
2012-01-01,18,39
2012-02-01,24,51
2012-03-01,20,41
2012-04-01,25,51
2012-05-01,33,48
2012-06-01,28,44
2012-07-01,26,41
2012-08-01,34,75
2012-09-01,29,100
2012-10-01,25,90
2012-11-01,23,66
2012-12-01,20,64
2013-01-01,20,54
2013-02-01,25,50
2013-03-01,27,49
2013-04-01,22,42
2013-05-01,24,44
2013-06-01,23,50
2013-07-01,22,51
2013-08-01,21,45
2013-09-01,23,47
2013-10-01,20,48
2013-11-01,19,38
2013-12-01,16,39
2014-01-01,22,40
2014-02-01,21,28
2014-03-01,23,33
2014-04-01,23,38
2014-05-01,25,36
2014-06-01,22,37
2014-07-01,22,32
2014-08-01,24,47
2014-09-01,21,32
2014-10-01,25,36
2014-11-01,21,28
2014-12-01,19,27
2015-01-01,20,34
2015-02-01,20,29
2015-03-01,22,29
2015-04-01,20,32
2015-05-01,17,33
2015-06-01,15,34
2015-07-01,17,34
2015-08-01,19,36
2015-09-01,22,29
2015-10-01,25,24
2015-11-01,19,31
2015-12-01,15,32
2016-01-01,18,33
2016-02-01,21,29
2016-03-01,16,27
2016-04-01,16,25
2016-05-01,15,26
2016-06-01,19,30
2016-07-01,11,35
2016-08-01,18,33
2016-09-01,15,28
2016-10-01,14,28
2016-11-01,13,26
2016-12-01,10,25
2017-01-01,9,29
