date,how to block people from seeing tagged photos on facebook,how to change facebook privacy settings
2011-01-01,0,21
2011-02-01,0,14
2011-03-01,0,24
2011-04-01,0,15
2011-05-01,0,13
2011-06-01,0,23
2011-07-01,2,20
2011-08-01,2,32
2011-09-01,3,63
2011-10-01,7,47
2011-11-01,7,41
2011-12-01,4,39
2012-01-01,6,37
2012-02-01,10,52
2012-03-01,4,42
2012-04-01,5,44
2012-05-01,6,51
2012-06-01,4,43
2012-07-01,2,30
2012-08-01,9,81
2012-09-01,5,100
2012-10-01,3,95
2012-11-01,1,65
2012-12-01,2,66
2013-01-01,3,59
2013-02-01,4,49
2013-03-01,1,53
2013-04-01,2,41
2013-05-01,3,40
2013-06-01,2,49
2013-07-01,4,48
2013-08-01,1,49
2013-09-01,1,47
2013-10-01,3,48
2013-11-01,3,35
2013-12-01,1,37
2014-01-01,1,43
2014-02-01,1,27
2014-03-01,1,34
2014-04-01,2,36
2014-05-01,1,35
2014-06-01,1,36
2014-07-01,3,29
2014-08-01,1,45
2014-09-01,1,31
2014-10-01,1,37
2014-11-01,2,27
2014-12-01,2,25
2015-01-01,1,34
2015-02-01,1,32
2015-03-01,1,31
2015-04-01,1,34
2015-05-01,2,32
2015-06-01,2,31
2015-07-01,1,35
2015-08-01,1,39
2015-09-01,1,31
2015-10-01,1,22
2015-11-01,1,28
2015-12-01,1,33
2016-01-01,1,32
2016-02-01,1,25
2016-03-01,2,26
2016-04-01,2,25
2016-05-01,1,27
2016-06-01,1,26
2016-07-01,1,38
2016-08-01,1,34
2016-09-01,1,28
2016-10-01,1,30
2016-11-01,1,25
2016-12-01,1,24
2017-01-01,0,31
