date,how to hide friends on facebook android,how to change facebook privacy settings
2011-01-01,3,21
2011-02-01,2,12
2011-03-01,2,22
2011-04-01,2,14
2011-05-01,4,17
2011-06-01,4,22
2011-07-01,4,20
2011-08-01,2,29
2011-09-01,4,60
2011-10-01,2,55
2011-11-01,2,48
2011-12-01,5,42
2012-01-01,4,39
2012-02-01,5,51
2012-03-01,3,41
2012-04-01,5,51
2012-05-01,2,48
2012-06-01,2,44
2012-07-01,1,41
2012-08-01,3,75
2012-09-01,1,100
2012-10-01,1,90
2012-11-01,3,66
2012-12-01,1,64
2013-01-01,2,54
2013-02-01,3,50
2013-03-01,1,49
2013-04-01,2,42
2013-05-01,2,44
2013-06-01,3,50
2013-07-01,2,51
2013-08-01,3,45
2013-09-01,3,47
2013-10-01,1,48
2013-11-01,1,38
2013-12-01,2,39
2014-01-01,3,40
2014-02-01,3,28
2014-03-01,4,33
2014-04-01,2,38
2014-05-01,4,36
2014-06-01,2,37
2014-07-01,4,32
2014-08-01,3,47
2014-09-01,1,32
2014-10-01,3,36
2014-11-01,4,28
2014-12-01,4,27
2015-01-01,3,34
2015-02-01,4,29
2015-03-01,3,29
2015-04-01,3,32
2015-05-01,5,33
2015-06-01,7,34
2015-07-01,7,34
2015-08-01,5,36
2015-09-01,4,29
2015-10-01,6,24
2015-11-01,4,31
2015-12-01,5,32
2016-01-01,8,33
2016-02-01,8,29
2016-03-01,9,27
2016-04-01,8,25
2016-05-01,8,26
2016-06-01,10,30
2016-07-01,12,35
2016-08-01,13,33
2016-09-01,11,28
2016-10-01,8,28
2016-11-01,9,26
2016-12-01,10,25
2017-01-01,12,29
