date,need to delete my snap account,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,1
2012-06-01,0,1
2012-07-01,0,3
2012-08-01,0,3
2012-09-01,0,5
2012-10-01,0,8
2012-11-01,0,26
2012-12-01,0,24
2013-01-01,0,25
2013-02-01,0,14
2013-03-01,0,20
2013-04-01,0,29
2013-05-01,0,20
2013-06-01,0,35
2013-07-01,0,45
2013-08-01,0,42
2013-09-01,0,33
2013-10-01,0,38
2013-11-01,0,35
2013-12-01,0,49
2014-01-01,0,78
2014-02-01,0,44
2014-03-01,0,56
2014-04-01,0,53
2014-05-01,0,74
2014-06-01,0,75
2014-07-01,0,64
2014-08-01,0,58
2014-09-01,0,56
2014-10-01,0,66
2014-11-01,0,60
2014-12-01,0,77
2015-01-01,0,100
2015-02-01,0,70
2015-03-01,0,81
2015-04-01,0,71
2015-05-01,0,52
2015-06-01,0,64
2015-07-01,0,77
2015-08-01,0,83
2015-09-01,0,62
2015-10-01,0,56
2015-11-01,0,62
2015-12-01,0,75
2016-01-01,0,74
2016-02-01,0,73
2016-03-01,0,78
2016-04-01,0,81
2016-05-01,0,93
2016-06-01,0,89
2016-07-01,0,97
2016-08-01,0,84
2016-09-01,0,79
2016-10-01,0,79
2016-11-01,0,73
2016-12-01,0,90
2017-01-01,0,95
