date,browsec for opera
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,0
2013-05-01,0
2013-06-01,0
2013-07-01,0
2013-08-01,0
2013-09-01,0
2013-10-01,0
2013-11-01,0
2013-12-01,0
2014-01-01,0
2014-02-01,0
2014-03-01,0
2014-04-01,0
2014-05-01,0
2014-06-01,7
2014-07-01,9
2014-08-01,17
2014-09-01,18
2014-10-01,6
2014-11-01,16
2014-12-01,29
2015-01-01,26
2015-02-01,34
2015-03-01,37
2015-04-01,56
2015-05-01,58
2015-06-01,35
2015-07-01,78
2015-08-01,69
2015-09-01,72
2015-10-01,77
2015-11-01,100
2015-12-01,74
2016-01-01,68
2016-02-01,47
2016-03-01,62
2016-04-01,59
2016-05-01,49
2016-06-01,53
2016-07-01,50
2016-08-01,57
2016-09-01,86
2016-10-01,77
2016-11-01,79
2016-12-01,62
2017-01-01,52
