date,incognito mode android history,how to search anonymously
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,44,0
2011-05-01,40,0
2011-06-01,40,0
2011-07-01,40,0
2011-08-01,40,0
2011-09-01,37,0
2011-10-01,37,0
2011-11-01,37,0
2011-12-01,37,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,33,0
2012-07-01,32,0
2012-08-01,32,0
2012-09-01,32,0
2012-10-01,30,0
2012-11-01,30,0
2012-12-01,30,0
2013-01-01,27,0
2013-02-01,30,0
2013-03-01,79,0
2013-04-01,36,0
2013-05-01,26,0
2013-06-01,40,0
2013-07-01,27,0
2013-08-01,39,0
2013-09-01,78,0
2013-10-01,49,0
2013-11-01,50,0
2013-12-01,42,0
2014-01-01,23,0
2014-02-01,25,0
2014-03-01,68,0
2014-04-01,47,0
2014-05-01,24,0
2014-06-01,44,0
2014-07-01,51,0
2014-08-01,43,0
2014-09-01,37,0
2014-10-01,47,0
2014-11-01,48,0
2014-12-01,55,0
2015-01-01,100,0
2015-02-01,48,0
2015-03-01,51,0
2015-04-01,44,0
2015-05-01,58,0
2015-06-01,30,0
2015-07-01,76,0
2015-08-01,50,0
2015-09-01,49,0
2015-10-01,74,0
2015-11-01,41,0
2015-12-01,63,0
2016-01-01,66,0
2016-02-01,53,0
2016-03-01,91,0
2016-04-01,51,0
2016-05-01,80,0
2016-06-01,19,0
2016-07-01,45,0
2016-08-01,88,0
2016-09-01,50,0
2016-10-01,95,0
2016-11-01,48,0
2016-12-01,72,0
2017-01-01,67,0
