date,how do i remove a device from my google account,how to delete a google account
2011-01-01,0,35
2011-02-01,0,28
2011-03-01,0,29
2011-04-01,0,31
2011-05-01,0,35
2011-06-01,0,40
2011-07-01,0,51
2011-08-01,0,49
2011-09-01,0,58
2011-10-01,0,52
2011-11-01,0,52
2011-12-01,0,51
2012-01-01,0,61
2012-02-01,0,41
2012-03-01,1,41
2012-04-01,1,43
2012-05-01,1,46
2012-06-01,1,50
2012-07-01,2,57
2012-08-01,1,70
2012-09-01,1,58
2012-10-01,1,43
2012-11-01,1,50
2012-12-01,1,58
2013-01-01,1,61
2013-02-01,1,60
2013-03-01,2,53
2013-04-01,1,62
2013-05-01,1,67
2013-06-01,1,68
2013-07-01,1,80
2013-08-01,1,74
2013-09-01,1,70
2013-10-01,1,77
2013-11-01,0,79
2013-12-01,1,84
2014-01-01,1,88
2014-02-01,1,90
2014-03-01,1,86
2014-04-01,1,82
2014-05-01,1,82
2014-06-01,1,82
2014-07-01,1,91
2014-08-01,1,89
2014-09-01,0,79
2014-10-01,1,77
2014-11-01,1,82
2014-12-01,1,76
2015-01-01,1,79
2015-02-01,1,71
2015-03-01,1,70
2015-04-01,1,70
2015-05-01,0,74
2015-06-01,1,79
2015-07-01,1,80
2015-08-01,0,87
2015-09-01,1,79
2015-10-01,1,77
2015-11-01,1,76
2015-12-01,1,78
2016-01-01,1,93
2016-02-01,1,76
2016-03-01,1,73
2016-04-01,1,81
2016-05-01,1,77
2016-06-01,1,78
2016-07-01,1,100
2016-08-01,1,96
2016-09-01,1,84
2016-10-01,1,84
2016-11-01,2,81
2016-12-01,2,97
2017-01-01,2,94
