date,Twitter account - deleting
2011-01-01,40
2011-02-01,42
2011-03-01,56
2011-04-01,50
2011-05-01,58
2011-06-01,64
2011-07-01,66
2011-08-01,61
2011-09-01,56
2011-10-01,58
2011-11-01,69
2011-12-01,67
2012-01-01,69
2012-02-01,71
2012-03-01,71
2012-04-01,83
2012-05-01,80
2012-06-01,84
2012-07-01,88
2012-08-01,99
2012-09-01,86
2012-10-01,81
2012-11-01,80
2012-12-01,87
2013-01-01,94
2013-02-01,95
2013-03-01,85
2013-04-01,100
2013-05-01,94
2013-06-01,93
2013-07-01,96
2013-08-01,94
2013-09-01,92
2013-10-01,86
2013-11-01,82
2013-12-01,82
2014-01-01,94
2014-02-01,93
2014-03-01,90
2014-04-01,87
2014-05-01,89
2014-06-01,88
2014-07-01,93
2014-08-01,93
2014-09-01,87
2014-10-01,80
2014-11-01,78
2014-12-01,85
2015-01-01,94
2015-02-01,88
2015-03-01,81
2015-04-01,81
2015-05-01,81
2015-06-01,83
2015-07-01,86
2015-08-01,85
2015-09-01,82
2015-10-01,79
2015-11-01,82
2015-12-01,76
2016-01-01,79
2016-02-01,74
2016-03-01,76
2016-04-01,76
2016-05-01,74
2016-06-01,82
2016-07-01,89
2016-08-01,83
2016-09-01,76
2016-10-01,73
2016-11-01,79
2016-12-01,77
2017-01-01,94
