Date,enable cookies chrome
2011-01-01,19.0
2011-02-01,15.0
2011-03-01,18.0
2011-04-01,6.0
2011-05-01,19.0
2011-06-01,16.0
2011-07-01,22.0
2011-08-01,26.0
2011-09-01,25.0
2011-10-01,16.0
2011-11-01,13.0
2011-12-01,19.0
2012-01-01,19.0
2012-02-01,24.0
2012-03-01,20.0
2012-04-01,17.0
2012-05-01,22.0
2012-06-01,24.0
2012-07-01,28.0
2012-08-01,37.0
2012-09-01,51.0
2012-10-01,43.0
2012-11-01,35.0
2012-12-01,47.0
2013-01-01,41.0
2013-02-01,47.0
2013-03-01,37.0
2013-04-01,33.0
2013-05-01,48.0
2013-06-01,34.0
2013-07-01,45.0
2013-08-01,47.0
2013-09-01,61.0
2013-10-01,45.0
2013-11-01,53.0
2013-12-01,49.0
2014-01-01,56.0
2014-02-01,55.0
2014-03-01,49.0
2014-04-01,45.0
2014-05-01,41.0
2014-06-01,67.0
2014-07-01,51.0
2014-08-01,100.0
2014-09-01,91.0
2014-10-01,79.0
2014-11-01,97.0
2014-12-01,86.0
2015-01-01,71.0
2015-02-01,86.0
2015-03-01,80.0
2015-04-01,88.0
2015-05-01,71.0
2015-06-01,80.0
2015-07-01,64.0
2015-08-01,73.0
2015-09-01,72.0
2015-10-01,71.0
2015-11-01,57.0
2015-12-01,61.0
2016-01-01,66.0
2016-02-01,67.0
2016-03-01,59.0
2016-04-01,68.0
2016-05-01,60.0
2016-06-01,57.0
