date,Unfriending on SnapChat
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,0
2013-05-01,0
2013-06-01,0
2013-07-01,16
2013-08-01,15
2013-09-01,0
2013-10-01,0
2013-11-01,0
2013-12-01,29
2014-01-01,14
2014-02-01,0
2014-03-01,27
2014-04-01,0
2014-05-01,21
2014-06-01,16
2014-07-01,15
2014-08-01,15
2014-09-01,14
2014-10-01,14
2014-11-01,21
2014-12-01,14
2015-01-01,13
2015-02-01,28
2015-03-01,17
2015-04-01,26
2015-05-01,13
2015-06-01,31
2015-07-01,47
2015-08-01,30
2015-09-01,50
2015-10-01,32
2015-11-01,45
2015-12-01,50
2016-01-01,27
2016-02-01,74
2016-03-01,44
2016-04-01,79
2016-05-01,62
2016-06-01,72
2016-07-01,57
2016-08-01,41
2016-09-01,55
2016-10-01,56
2016-11-01,42
2016-12-01,46
2017-01-01,100
