date,Instagram security,private instagram posts
2011-01-01,1,0
2011-02-01,1,0
2011-03-01,1,0
2011-04-01,2,0
2011-05-01,1,1
2011-06-01,1,0
2011-07-01,1,0
2011-08-01,2,0
2011-09-01,3,0
2011-10-01,2,0
2011-11-01,3,1
2011-12-01,2,0
2012-01-01,5,0
2012-02-01,8,0
2012-03-01,8,0
2012-04-01,19,1
2012-05-01,15,1
2012-06-01,16,1
2012-07-01,22,1
2012-08-01,22,0
2012-09-01,14,1
2012-10-01,22,0
2012-11-01,23,0
2012-12-01,28,1
2013-01-01,34,1
2013-02-01,33,0
2013-03-01,29,1
2013-04-01,38,1
2013-05-01,37,1
2013-06-01,32,1
2013-07-01,43,2
2013-08-01,45,4
2013-09-01,45,3
2013-10-01,43,5
2013-11-01,46,4
2013-12-01,62,5
2014-01-01,54,7
2014-02-01,63,6
2014-03-01,67,6
2014-04-01,56,7
2014-05-01,72,7
2014-06-01,82,6
2014-07-01,83,8
2014-08-01,85,6
2014-09-01,63,7
2014-10-01,61,9
2014-11-01,79,9
2014-12-01,85,6
2015-01-01,77,8
2015-02-01,81,9
2015-03-01,82,5
2015-04-01,94,6
2015-05-01,89,6
2015-06-01,95,7
2015-07-01,100,8
2015-08-01,74,7
2015-09-01,80,5
2015-10-01,68,6
2015-11-01,71,7
2015-12-01,74,7
2016-01-01,77,7
2016-02-01,71,6
2016-03-01,85,7
2016-04-01,76,10
2016-05-01,81,9
2016-06-01,88,9
2016-07-01,86,8
2016-08-01,88,9
2016-09-01,82,10
2016-10-01,90,8
2016-11-01,80,10
2016-12-01,86,12
2017-01-01,92,11
