date,how to change facebook privacy settings
2011-01-01,23
2011-02-01,18
2011-03-01,19
2011-04-01,12
2011-05-01,13
2011-06-01,21
2011-07-01,19
2011-08-01,26
2011-09-01,65
2011-10-01,58
2011-11-01,55
2011-12-01,49
2012-01-01,35
2012-02-01,48
2012-03-01,47
2012-04-01,41
2012-05-01,44
2012-06-01,43
2012-07-01,40
2012-08-01,58
2012-09-01,100
2012-10-01,91
2012-11-01,73
2012-12-01,65
2013-01-01,58
2013-02-01,58
2013-03-01,52
2013-04-01,42
2013-05-01,43
2013-06-01,48
2013-07-01,54
2013-08-01,52
2013-09-01,47
2013-10-01,44
2013-11-01,36
2013-12-01,38
2014-01-01,46
2014-02-01,30
2014-03-01,32
2014-04-01,40
2014-05-01,36
2014-06-01,39
2014-07-01,29
2014-08-01,47
2014-09-01,34
2014-10-01,32
2014-11-01,31
2014-12-01,28
2015-01-01,28
2015-02-01,28
2015-03-01,39
2015-04-01,27
2015-05-01,30
2015-06-01,27
2015-07-01,36
2015-08-01,32
2015-09-01,27
2015-10-01,27
2015-11-01,36
2015-12-01,30
2016-01-01,37
2016-02-01,33
2016-03-01,25
2016-04-01,22
2016-05-01,30
2016-06-01,27
2016-07-01,33
2016-08-01,27
2016-09-01,31
2016-10-01,28
2016-11-01,27
2016-12-01,27
2017-01-01,24
