date,instagram privacy settings
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,1
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,1
2011-09-01,1
2011-10-01,0
2011-11-01,1
2011-12-01,0
2012-01-01,1
2012-02-01,1
2012-03-01,2
2012-04-01,6
2012-05-01,9
2012-06-01,5
2012-07-01,8
2012-08-01,10
2012-09-01,100
2012-10-01,87
2012-11-01,71
2012-12-01,93
2013-01-01,53
2013-02-01,32
2013-03-01,37
2013-04-01,32
2013-05-01,28
2013-06-01,38
2013-07-01,34
2013-08-01,31
2013-09-01,28
2013-10-01,21
2013-11-01,21
2013-12-01,25
2014-01-01,29
2014-02-01,24
2014-03-01,26
2014-04-01,19
2014-05-01,23
2014-06-01,22
2014-07-01,20
2014-08-01,19
2014-09-01,24
2014-10-01,23
2014-11-01,20
2014-12-01,19
2015-01-01,22
2015-02-01,17
2015-03-01,17
2015-04-01,13
2015-05-01,13
2015-06-01,11
2015-07-01,15
2015-08-01,13
2015-09-01,12
2015-10-01,13
2015-11-01,15
2015-12-01,13
2016-01-01,12
2016-02-01,11
2016-03-01,11
2016-04-01,15
2016-05-01,12
2016-06-01,11
2016-07-01,13
2016-08-01,13
2016-09-01,15
2016-10-01,12
2016-11-01,16
2016-12-01,13
2017-01-01,16
