date,how to change twitter username on android
2011-01-01,28
2011-02-01,29
2011-03-01,26
2011-04-01,26
2011-05-01,26
2011-06-01,26
2011-07-01,26
2011-08-01,25
2011-09-01,23
2011-10-01,23
2011-11-01,23
2011-12-01,23
2012-01-01,42
2012-02-01,22
2012-03-01,21
2012-04-01,22
2012-05-01,21
2012-06-01,21
2012-07-01,31
2012-08-01,41
2012-09-01,20
2012-10-01,19
2012-11-01,93
2012-12-01,37
2013-01-01,34
2013-02-01,28
2013-03-01,25
2013-04-01,42
2013-05-01,16
2013-06-01,34
2013-07-01,33
2013-08-01,16
2013-09-01,16
2013-10-01,46
2013-11-01,47
2013-12-01,16
2014-01-01,36
2014-02-01,32
2014-03-01,29
2014-04-01,15
2014-05-01,15
2014-06-01,33
2014-07-01,37
2014-08-01,40
2014-09-01,15
2014-10-01,30
2014-11-01,38
2014-12-01,75
2015-01-01,63
2015-02-01,60
2015-03-01,41
2015-04-01,35
2015-05-01,48
2015-06-01,49
2015-07-01,62
2015-08-01,41
2015-09-01,40
2015-10-01,19
2015-11-01,45
2015-12-01,79
2016-01-01,43
2016-02-01,37
2016-03-01,17
2016-04-01,24
2016-05-01,41
2016-06-01,48
2016-07-01,30
2016-08-01,18
2016-09-01,47
2016-10-01,28
2016-11-01,22
2016-12-01,57
2017-01-01,100
