date,private instagram viewer app,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,7
2012-02-01,0,10
2012-03-01,0,14
2012-04-01,0,15
2012-05-01,0,17
2012-06-01,0,10
2012-07-01,0,12
2012-08-01,0,13
2012-09-01,7,100
2012-10-01,6,88
2012-11-01,6,55
2012-12-01,6,64
2013-01-01,6,78
2013-02-01,6,40
2013-03-01,5,57
2013-04-01,6,22
2013-05-01,5,54
2013-06-01,5,69
2013-07-01,5,60
2013-08-01,11,59
2013-09-01,11,45
2013-10-01,5,43
2013-11-01,13,20
2013-12-01,23,48
2014-01-01,10,57
2014-02-01,16,21
2014-03-01,14,37
2014-04-01,19,46
2014-05-01,15,29
2014-06-01,14,49
2014-07-01,16,53
2014-08-01,34,45
2014-09-01,28,25
2014-10-01,7,34
2014-11-01,17,20
2014-12-01,10,29
2015-01-01,18,30
2015-02-01,30,17
2015-03-01,27,25
2015-04-01,46,30
2015-05-01,45,11
2015-06-01,18,27
2015-07-01,34,36
2015-08-01,29,4
2015-09-01,9,17
2015-10-01,35,12
2015-11-01,40,11
2015-12-01,32,19
2016-01-01,29,14
2016-02-01,26,8
2016-03-01,40,4
2016-04-01,34,14
2016-05-01,54,11
2016-06-01,55,10
2016-07-01,52,22
2016-08-01,39,17
2016-09-01,31,15
2016-10-01,37,15
2016-11-01,37,11
2016-12-01,41,13
2017-01-01,48,14
