date,open snapchat without them knowing app,who can see my snapchat story
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,0,0
2012-09-01,0,0
2012-10-01,0,0
2012-11-01,0,0
2012-12-01,0,0
2013-01-01,0,0
2013-02-01,0,0
2013-03-01,0,0
2013-04-01,0,0
2013-05-01,0,0
2013-06-01,0,0
2013-07-01,0,0
2013-08-01,0,0
2013-09-01,0,0
2013-10-01,5,24
2013-11-01,4,37
2013-12-01,4,44
2014-01-01,4,38
2014-02-01,4,26
2014-03-01,4,25
2014-04-01,5,51
2014-05-01,5,47
2014-06-01,5,38
2014-07-01,5,54
2014-08-01,5,27
2014-09-01,5,43
2014-10-01,5,40
2014-11-01,9,44
2014-12-01,9,34
2015-01-01,4,38
2015-02-01,9,44
2015-03-01,13,60
2015-04-01,7,58
2015-05-01,4,53
2015-06-01,9,39
2015-07-01,4,100
2015-08-01,4,57
2015-09-01,4,50
2015-10-01,4,51
2015-11-01,4,35
2015-12-01,5,45
2016-01-01,5,58
2016-02-01,4,36
2016-03-01,7,68
2016-04-01,9,80
2016-05-01,12,70
2016-06-01,9,60
2016-07-01,8,81
2016-08-01,15,81
2016-09-01,9,67
2016-10-01,10,80
2016-11-01,10,64
2016-12-01,14,71
2017-01-01,15,96
