date,delete YouTube,how to delete youtube
2011-01-01,52,29
2011-02-01,50,27
2011-03-01,53,29
2011-04-01,54,30
2011-05-01,52,30
2011-06-01,70,41
2011-07-01,79,47
2011-08-01,77,47
2011-09-01,69,41
2011-10-01,72,43
2011-11-01,75,45
2011-12-01,96,59
2012-01-01,86,55
2012-02-01,80,48
2012-03-01,77,48
2012-04-01,77,49
2012-05-01,73,45
2012-06-01,79,50
2012-07-01,85,54
2012-08-01,81,53
2012-09-01,85,51
2012-10-01,80,48
2012-11-01,81,51
2012-12-01,99,61
2013-01-01,91,60
2013-02-01,89,57
2013-03-01,89,56
2013-04-01,91,55
2013-05-01,88,55
2013-06-01,91,59
2013-07-01,95,61
2013-08-01,100,65
2013-09-01,89,55
2013-10-01,83,50
2013-11-01,85,51
2013-12-01,90,55
2014-01-01,92,56
2014-02-01,82,51
2014-03-01,87,54
2014-04-01,85,52
2014-05-01,83,50
2014-06-01,86,52
2014-07-01,95,61
2014-08-01,96,63
2014-09-01,91,56
2014-10-01,86,55
2014-11-01,88,56
2014-12-01,92,57
2015-01-01,90,57
2015-02-01,85,50
2015-03-01,79,51
2015-04-01,80,51
2015-05-01,81,51
2015-06-01,84,53
2015-07-01,88,55
2015-08-01,88,56
2015-09-01,77,48
2015-10-01,74,47
2015-11-01,75,46
2015-12-01,84,53
2016-01-01,85,52
2016-02-01,76,46
2016-03-01,72,44
2016-04-01,72,44
2016-05-01,72,45
2016-06-01,73,46
2016-07-01,78,49
2016-08-01,79,50
2016-09-01,76,48
2016-10-01,71,45
2016-11-01,74,46
2016-12-01,80,49
2017-01-01,81,51
