date,How to delete youtube,how to delete youtube
2011-01-01,45,45
2011-02-01,43,43
2011-03-01,46,46
2011-04-01,49,49
2011-05-01,47,47
2011-06-01,65,65
2011-07-01,73,73
2011-08-01,74,74
2011-09-01,65,65
2011-10-01,66,66
2011-11-01,70,70
2011-12-01,95,95
2012-01-01,86,86
2012-02-01,74,74
2012-03-01,75,75
2012-04-01,76,76
2012-05-01,70,70
2012-06-01,78,78
2012-07-01,86,86
2012-08-01,83,83
2012-09-01,78,78
2012-10-01,77,77
2012-11-01,80,80
2012-12-01,95,95
2013-01-01,91,91
2013-02-01,88,88
2013-03-01,87,87
2013-04-01,88,88
2013-05-01,87,87
2013-06-01,90,90
2013-07-01,95,95
2013-08-01,100,100
2013-09-01,85,85
2013-10-01,78,78
2013-11-01,82,82
2013-12-01,83,83
2014-01-01,87,87
2014-02-01,81,81
2014-03-01,83,83
2014-04-01,83,83
2014-05-01,80,80
2014-06-01,81,81
2014-07-01,96,96
2014-08-01,98,98
2014-09-01,89,89
2014-10-01,85,85
2014-11-01,88,88
2014-12-01,90,90
2015-01-01,90,90
2015-02-01,81,81
2015-03-01,79,79
2015-04-01,81,81
2015-05-01,79,79
2015-06-01,82,82
2015-07-01,88,88
2015-08-01,87,87
2015-09-01,77,77
2015-10-01,73,73
2015-11-01,71,71
2015-12-01,79,79
2016-01-01,79,79
2016-02-01,74,74
2016-03-01,69,69
2016-04-01,69,69
2016-05-01,70,70
2016-06-01,73,73
2016-07-01,76,76
2016-08-01,74,74
2016-09-01,71,71
2016-10-01,71,71
2016-11-01,69,69
2016-12-01,77,77
2017-01-01,79,79
