Date,snapchat delete account
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,1.0
2012-05-01,0.0
2012-06-01,1.0
2012-07-01,2.0
2012-08-01,3.0
2012-09-01,2.0
2012-10-01,6.0
2012-11-01,23.0
2012-12-01,24.0
2013-01-01,17.0
2013-02-01,15.0
2013-03-01,20.0
2013-04-01,20.0
2013-05-01,24.0
2013-06-01,29.0
2013-07-01,24.0
2013-08-01,26.0
2013-09-01,25.0
2013-10-01,28.0
2013-11-01,33.0
2013-12-01,34.0
2014-01-01,69.0
2014-02-01,33.0
2014-03-01,42.0
2014-04-01,45.0
2014-05-01,66.0
2014-06-01,54.0
2014-07-01,47.0
2014-08-01,31.0
2014-09-01,43.0
2014-10-01,46.0
2014-11-01,41.0
2014-12-01,60.0
2015-01-01,54.0
2015-02-01,42.0
2015-03-01,61.0
2015-04-01,51.0
2015-05-01,39.0
2015-06-01,52.0
2015-07-01,81.0
2015-08-01,73.0
2015-09-01,54.0
2015-10-01,44.0
2015-11-01,50.0
2015-12-01,56.0
2016-01-01,70.0
2016-02-01,72.0
2016-03-01,47.0
2016-04-01,61.0
2016-05-01,86.0
2016-06-01,100.0
