Date,hack someones facebook account
2011-01-01,100.0
2011-02-01,78.0
2011-03-01,72.0
2011-04-01,70.0
2011-05-01,82.0
2011-06-01,98.0
2011-07-01,97.0
2011-08-01,92.0
2011-09-01,100.0
2011-10-01,44.0
2011-11-01,41.0
2011-12-01,58.0
2012-01-01,61.0
2012-02-01,53.0
2012-03-01,47.0
2012-04-01,56.0
2012-05-01,56.0
2012-06-01,43.0
2012-07-01,63.0
2012-08-01,49.0
2012-09-01,25.0
2012-10-01,41.0
2012-11-01,33.0
2012-12-01,39.0
2013-01-01,34.0
2013-02-01,48.0
2013-03-01,42.0
2013-04-01,25.0
2013-05-01,41.0
2013-06-01,30.0
2013-07-01,32.0
2013-08-01,34.0
2013-09-01,25.0
2013-10-01,38.0
2013-11-01,24.0
2013-12-01,22.0
2014-01-01,26.0
2014-02-01,28.0
2014-03-01,25.0
2014-04-01,17.0
2014-05-01,27.0
2014-06-01,42.0
2014-07-01,34.0
2014-08-01,23.0
2014-09-01,22.0
2014-10-01,21.0
2014-11-01,24.0
2014-12-01,25.0
2015-01-01,21.0
2015-02-01,19.0
2015-03-01,19.0
2015-04-01,12.0
2015-05-01,26.0
2015-06-01,32.0
2015-07-01,23.0
2015-08-01,15.0
2015-09-01,23.0
2015-10-01,28.0
2015-11-01,22.0
2015-12-01,15.0
2016-01-01,16.0
2016-02-01,18.0
2016-03-01,18.0
2016-04-01,16.0
2016-05-01,17.0
2016-06-01,17.0
