date,instagram account
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,1
2011-08-01,1
2011-09-01,1
2011-10-01,1
2011-11-01,1
2011-12-01,2
2012-01-01,3
2012-02-01,3
2012-03-01,4
2012-04-01,11
2012-05-01,10
2012-06-01,13
2012-07-01,15
2012-08-01,17
2012-09-01,17
2012-10-01,18
2012-11-01,20
2012-12-01,28
2013-01-01,30
2013-02-01,32
2013-03-01,28
2013-04-01,28
2013-05-01,35
2013-06-01,39
2013-07-01,38
2013-08-01,39
2013-09-01,35
2013-10-01,35
2013-11-01,33
2013-12-01,36
2014-01-01,41
2014-02-01,42
2014-03-01,43
2014-04-01,44
2014-05-01,45
2014-06-01,50
2014-07-01,54
2014-08-01,49
2014-09-01,42
2014-10-01,41
2014-11-01,44
2014-12-01,51
2015-01-01,53
2015-02-01,46
2015-03-01,47
2015-04-01,50
2015-05-01,51
2015-06-01,54
2015-07-01,62
2015-08-01,63
2015-09-01,60
2015-10-01,56
2015-11-01,58
2015-12-01,64
2016-01-01,71
2016-02-01,75
2016-03-01,74
2016-04-01,70
2016-05-01,71
2016-06-01,84
2016-07-01,90
2016-08-01,83
2016-09-01,78
2016-10-01,85
2016-11-01,92
2016-12-01,91
2017-01-01,100
