date,Gmail security
2011-01-01,59
2011-02-01,58
2011-03-01,55
2011-04-01,57
2011-05-01,56
2011-06-01,64
2011-07-01,59
2011-08-01,62
2011-09-01,59
2011-10-01,58
2011-11-01,59
2011-12-01,65
2012-01-01,60
2012-02-01,58
2012-03-01,57
2012-04-01,54
2012-05-01,52
2012-06-01,52
2012-07-01,60
2012-08-01,63
2012-09-01,58
2012-10-01,61
2012-11-01,60
2012-12-01,60
2013-01-01,64
2013-02-01,70
2013-03-01,69
2013-04-01,66
2013-05-01,60
2013-06-01,68
2013-07-01,68
2013-08-01,74
2013-09-01,71
2013-10-01,82
2013-11-01,79
2013-12-01,78
2014-01-01,87
2014-02-01,85
2014-03-01,84
2014-04-01,86
2014-05-01,78
2014-06-01,74
2014-07-01,82
2014-08-01,81
2014-09-01,100
2014-10-01,81
2014-11-01,87
2014-12-01,79
2015-01-01,82
2015-02-01,87
2015-03-01,82
2015-04-01,79
2015-05-01,73
2015-06-01,76
2015-07-01,82
2015-08-01,87
2015-09-01,82
2015-10-01,81
2015-11-01,79
2015-12-01,83
2016-01-01,86
2016-02-01,89
2016-03-01,84
2016-04-01,82
2016-05-01,80
2016-06-01,79
2016-07-01,86
2016-08-01,84
2016-09-01,81
2016-10-01,77
2016-11-01,78
2016-12-01,78
2017-01-01,83
