date,how to view private instagram profiles no survey
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,9
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,0
2013-05-01,0
2013-06-01,0
2013-07-01,0
2013-08-01,0
2013-09-01,0
2013-10-01,7
2013-11-01,7
2013-12-01,7
2014-01-01,7
2014-02-01,7
2014-03-01,6
2014-04-01,7
2014-05-01,7
2014-06-01,8
2014-07-01,7
2014-08-01,7
2014-09-01,7
2014-10-01,7
2014-11-01,9
2014-12-01,11
2015-01-01,13
2015-02-01,11
2015-03-01,9
2015-04-01,16
2015-05-01,8
2015-06-01,8
2015-07-01,19
2015-08-01,12
2015-09-01,10
2015-10-01,9
2015-11-01,16
2015-12-01,10
2016-01-01,11
2016-02-01,11
2016-03-01,17
2016-04-01,22
2016-05-01,16
2016-06-01,25
2016-07-01,16
2016-08-01,20
2016-09-01,18
2016-10-01,73
2016-11-01,100
2016-12-01,83
2017-01-01,51
