date,how to delete my account,how to delete a google account
2011-01-01,42,4
2011-02-01,37,4
2011-03-01,35,4
2011-04-01,36,4
2011-05-01,39,6
2011-06-01,47,6
2011-07-01,46,8
2011-08-01,51,7
2011-09-01,51,8
2011-10-01,47,7
2011-11-01,50,8
2011-12-01,55,7
2012-01-01,55,8
2012-02-01,51,6
2012-03-01,52,6
2012-04-01,53,7
2012-05-01,53,6
2012-06-01,61,7
2012-07-01,66,7
2012-08-01,65,9
2012-09-01,62,8
2012-10-01,57,6
2012-11-01,58,7
2012-12-01,66,8
2013-01-01,64,8
2013-02-01,64,8
2013-03-01,62,9
2013-04-01,62,8
2013-05-01,59,10
2013-06-01,65,10
2013-07-01,71,11
2013-08-01,74,12
2013-09-01,68,10
2013-10-01,65,11
2013-11-01,65,11
2013-12-01,74,12
2014-01-01,77,13
2014-02-01,71,12
2014-03-01,73,12
2014-04-01,70,11
2014-05-01,73,12
2014-06-01,75,11
2014-07-01,75,13
2014-08-01,79,12
2014-09-01,75,12
2014-10-01,71,12
2014-11-01,71,11
2014-12-01,74,11
2015-01-01,76,11
2015-02-01,72,10
2015-03-01,68,11
2015-04-01,69,10
2015-05-01,69,11
2015-06-01,73,11
2015-07-01,80,13
2015-08-01,84,12
2015-09-01,79,11
2015-10-01,73,11
2015-11-01,69,10
2015-12-01,75,11
2016-01-01,81,13
2016-02-01,73,11
2016-03-01,74,11
2016-04-01,76,11
2016-05-01,76,11
2016-06-01,84,12
2016-07-01,94,14
2016-08-01,88,14
2016-09-01,84,12
2016-10-01,85,12
2016-11-01,86,12
2016-12-01,94,14
2017-01-01,100,13
