date,How do I delete my google account,how to delete a google account
2011-01-01,11,31
2011-02-01,14,27
2011-03-01,11,31
2011-04-01,13,31
2011-05-01,15,39
2011-06-01,20,41
2011-07-01,18,58
2011-08-01,16,52
2011-09-01,25,58
2011-10-01,21,51
2011-11-01,21,52
2011-12-01,22,51
2012-01-01,26,56
2012-02-01,22,43
2012-03-01,24,38
2012-04-01,21,46
2012-05-01,18,45
2012-06-01,23,51
2012-07-01,22,51
2012-08-01,21,66
2012-09-01,20,58
2012-10-01,22,44
2012-11-01,19,46
2012-12-01,26,57
2013-01-01,22,56
2013-02-01,27,56
2013-03-01,27,60
2013-04-01,26,58
2013-05-01,26,66
2013-06-01,23,70
2013-07-01,27,74
2013-08-01,29,81
2013-09-01,23,66
2013-10-01,33,78
2013-11-01,27,76
2013-12-01,33,82
2014-01-01,39,93
2014-02-01,30,86
2014-03-01,28,86
2014-04-01,28,77
2014-05-01,25,83
2014-06-01,24,76
2014-07-01,26,90
2014-08-01,26,86
2014-09-01,29,81
2014-10-01,26,80
2014-11-01,21,78
2014-12-01,24,79
2015-01-01,26,79
2015-02-01,23,71
2015-03-01,19,75
2015-04-01,21,73
2015-05-01,21,78
2015-06-01,23,77
2015-07-01,25,89
2015-08-01,26,87
2015-09-01,24,77
2015-10-01,23,76
2015-11-01,20,71
2015-12-01,24,78
2016-01-01,26,89
2016-02-01,21,76
2016-03-01,20,75
2016-04-01,21,74
2016-05-01,17,78
2016-06-01,22,84
2016-07-01,27,100
2016-08-01,27,96
2016-09-01,26,86
2016-10-01,22,86
2016-11-01,23,80
2016-12-01,26,94
2017-01-01,28,93
