date,find youtube
2011-01-01,78
2011-02-01,77
2011-03-01,76
2011-04-01,80
2011-05-01,77
2011-06-01,78
2011-07-01,79
2011-08-01,77
2011-09-01,80
2011-10-01,82
2011-11-01,84
2011-12-01,84
2012-01-01,84
2012-02-01,80
2012-03-01,81
2012-04-01,76
2012-05-01,74
2012-06-01,73
2012-07-01,75
2012-08-01,75
2012-09-01,82
2012-10-01,80
2012-11-01,79
2012-12-01,84
2013-01-01,81
2013-02-01,81
2013-03-01,81
2013-04-01,84
2013-05-01,81
2013-06-01,79
2013-07-01,77
2013-08-01,79
2013-09-01,82
2013-10-01,90
2013-11-01,92
2013-12-01,93
2014-01-01,93
2014-02-01,91
2014-03-01,94
2014-04-01,92
2014-05-01,89
2014-06-01,84
2014-07-01,85
2014-08-01,87
2014-09-01,92
2014-10-01,90
2014-11-01,91
2014-12-01,90
2015-01-01,88
2015-02-01,91
2015-03-01,88
2015-04-01,88
2015-05-01,87
2015-06-01,81
2015-07-01,82
2015-08-01,88
2015-09-01,92
2015-10-01,90
2015-11-01,89
2015-12-01,92
2016-01-01,90
2016-02-01,89
2016-03-01,88
2016-04-01,89
2016-05-01,86
2016-06-01,83
2016-07-01,86
2016-08-01,88
2016-09-01,92
2016-10-01,92
2016-11-01,100
2016-12-01,98
2017-01-01,97
