date,delete your account page,how to delete a twitter account
2011-01-01,5,10
2011-02-01,3,13
2011-03-01,3,18
2011-04-01,6,12
2011-05-01,6,20
2011-06-01,5,20
2011-07-01,6,32
2011-08-01,5,25
2011-09-01,5,23
2011-10-01,6,29
2011-11-01,5,34
2011-12-01,6,35
2012-01-01,6,40
2012-02-01,4,36
2012-03-01,4,39
2012-04-01,4,43
2012-05-01,7,39
2012-06-01,5,48
2012-07-01,7,46
2012-08-01,8,65
2012-09-01,7,58
2012-10-01,7,54
2012-11-01,5,52
2012-12-01,5,54
2013-01-01,8,68
2013-02-01,7,74
2013-03-01,8,54
2013-04-01,6,50
2013-05-01,6,57
2013-06-01,7,60
2013-07-01,10,59
2013-08-01,7,54
2013-09-01,8,54
2013-10-01,7,51
2013-11-01,6,51
2013-12-01,6,51
2014-01-01,7,67
2014-02-01,7,74
2014-03-01,8,66
2014-04-01,7,61
2014-05-01,6,55
2014-06-01,6,66
2014-07-01,5,74
2014-08-01,6,68
2014-09-01,6,63
2014-10-01,3,69
2014-11-01,5,63
2014-12-01,5,70
2015-01-01,7,83
2015-02-01,5,66
2015-03-01,6,63
2015-04-01,7,63
2015-05-01,7,73
2015-06-01,7,100
2015-07-01,7,73
2015-08-01,6,65
2015-09-01,9,65
2015-10-01,9,73
2015-11-01,9,71
2015-12-01,8,70
2016-01-01,9,71
2016-02-01,9,54
2016-03-01,11,60
2016-04-01,13,61
2016-05-01,15,65
2016-06-01,14,62
2016-07-01,13,67
2016-08-01,15,68
2016-09-01,9,61
2016-10-01,14,57
2016-11-01,21,57
2016-12-01,22,58
2017-01-01,21,71
