date,twitter search,how to delete a twitter account
2011-01-01,38,0
2011-02-01,42,0
2011-03-01,43,0
2011-04-01,42,0
2011-05-01,49,1
2011-06-01,48,1
2011-07-01,52,1
2011-08-01,52,1
2011-09-01,77,1
2011-10-01,83,1
2011-11-01,87,1
2011-12-01,91,1
2012-01-01,91,1
2012-02-01,88,1
2012-03-01,87,1
2012-04-01,87,1
2012-05-01,90,1
2012-06-01,94,1
2012-07-01,99,1
2012-08-01,99,2
2012-09-01,91,2
2012-10-01,83,1
2012-11-01,81,1
2012-12-01,85,1
2013-01-01,83,2
2013-02-01,83,2
2013-03-01,81,1
2013-04-01,79,1
2013-05-01,79,2
2013-06-01,89,2
2013-07-01,86,2
2013-08-01,88,1
2013-09-01,88,1
2013-10-01,86,1
2013-11-01,87,1
2013-12-01,90,1
2014-01-01,93,2
2014-02-01,94,2
2014-03-01,98,2
2014-04-01,92,2
2014-05-01,91,1
2014-06-01,93,2
2014-07-01,92,2
2014-08-01,100,2
2014-09-01,95,2
2014-10-01,86,2
2014-11-01,83,2
2014-12-01,84,2
2015-01-01,84,2
2015-02-01,84,2
2015-03-01,81,2
2015-04-01,80,2
2015-05-01,76,2
2015-06-01,73,3
2015-07-01,72,2
2015-08-01,73,2
2015-09-01,67,2
2015-10-01,64,2
2015-11-01,70,2
2015-12-01,70,2
2016-01-01,71,2
2016-02-01,64,1
2016-03-01,63,2
2016-04-01,65,2
2016-05-01,63,2
2016-06-01,62,2
2016-07-01,64,2
2016-08-01,60,2
2016-09-01,57,2
2016-10-01,54,2
2016-11-01,52,2
2016-12-01,51,2
2017-01-01,52,2
