date,facebook app
2011-01-01,46
2011-02-01,46
2011-03-01,47
2011-04-01,52
2011-05-01,49
2011-06-01,52
2011-07-01,63
2011-08-01,62
2011-09-01,61
2011-10-01,70
2011-11-01,62
2011-12-01,77
2012-01-01,71
2012-02-01,66
2012-03-01,68
2012-04-01,69
2012-05-01,70
2012-06-01,72
2012-07-01,73
2012-08-01,80
2012-09-01,84
2012-10-01,84
2012-11-01,87
2012-12-01,100
2013-01-01,92
2013-02-01,90
2013-03-01,86
2013-04-01,86
2013-05-01,81
2013-06-01,81
2013-07-01,84
2013-08-01,81
2013-09-01,81
2013-10-01,79
2013-11-01,86
2013-12-01,86
2014-01-01,79
2014-02-01,87
2014-03-01,77
2014-04-01,77
2014-05-01,77
2014-06-01,75
2014-07-01,80
2014-08-01,100
2014-09-01,89
2014-10-01,89
2014-11-01,79
2014-12-01,83
2015-01-01,81
2015-02-01,78
2015-03-01,77
2015-04-01,77
2015-05-01,76
2015-06-01,75
2015-07-01,80
2015-08-01,82
2015-09-01,83
2015-10-01,83
2015-11-01,84
2015-12-01,87
2016-01-01,88
2016-02-01,82
2016-03-01,82
2016-04-01,83
2016-05-01,86
2016-06-01,92
2016-07-01,95
2016-08-01,95
2016-09-01,89
2016-10-01,91
2016-11-01,90
2016-12-01,94
2017-01-01,92
