date,facebook login 2
2011-01-01,77
2011-02-01,70
2011-03-01,61
2011-04-01,69
2011-05-01,71
2011-06-01,92
2011-07-01,100
2011-08-01,96
2011-09-01,88
2011-10-01,53
2011-11-01,20
2011-12-01,24
2012-01-01,44
2012-02-01,69
2012-03-01,42
2012-04-01,29
2012-05-01,29
2012-06-01,56
2012-07-01,70
2012-08-01,66
2012-09-01,53
2012-10-01,78
2012-11-01,77
2012-12-01,39
2013-01-01,44
2013-02-01,60
2013-03-01,62
2013-04-01,56
2013-05-01,51
2013-06-01,60
2013-07-01,51
2013-08-01,46
2013-09-01,36
2013-10-01,41
2013-11-01,43
2013-12-01,40
2014-01-01,38
2014-02-01,39
2014-03-01,45
2014-04-01,45
2014-05-01,41
2014-06-01,31
2014-07-01,22
2014-08-01,16
2014-09-01,27
2014-10-01,13
2014-11-01,14
2014-12-01,13
2015-01-01,13
2015-02-01,20
2015-03-01,31
2015-04-01,36
2015-05-01,31
2015-06-01,25
2015-07-01,21
2015-08-01,24
2015-09-01,31
2015-10-01,41
2015-11-01,40
2015-12-01,41
2016-01-01,42
2016-02-01,38
2016-03-01,39
2016-04-01,40
2016-05-01,40
2016-06-01,45
2016-07-01,40
2016-08-01,38
2016-09-01,37
2016-10-01,34
2016-11-01,36
2016-12-01,33
2017-01-01,31
