date,facebook privacy settings change
2011-01-01,22
2011-02-01,25
2011-03-01,29
2011-04-01,15
2011-05-01,27
2011-06-01,22
2011-07-01,24
2011-08-01,36
2011-09-01,67
2011-10-01,60
2011-11-01,58
2011-12-01,51
2012-01-01,47
2012-02-01,48
2012-03-01,45
2012-04-01,50
2012-05-01,49
2012-06-01,48
2012-07-01,45
2012-08-01,83
2012-09-01,95
2012-10-01,100
2012-11-01,73
2012-12-01,68
2013-01-01,66
2013-02-01,67
2013-03-01,59
2013-04-01,54
2013-05-01,47
2013-06-01,49
2013-07-01,65
2013-08-01,59
2013-09-01,50
2013-10-01,60
2013-11-01,51
2013-12-01,44
2014-01-01,48
2014-02-01,35
2014-03-01,38
2014-04-01,44
2014-05-01,40
2014-06-01,45
2014-07-01,37
2014-08-01,47
2014-09-01,40
2014-10-01,45
2014-11-01,37
2014-12-01,34
2015-01-01,54
2015-02-01,36
2015-03-01,39
2015-04-01,31
2015-05-01,38
2015-06-01,34
2015-07-01,36
2015-08-01,34
2015-09-01,41
2015-10-01,32
2015-11-01,34
2015-12-01,33
2016-01-01,36
2016-02-01,33
2016-03-01,31
2016-04-01,28
2016-05-01,29
2016-06-01,44
2016-07-01,40
2016-08-01,33
2016-09-01,30
2016-10-01,37
2016-11-01,29
2016-12-01,34
2017-01-01,31
