date,how to stop someone from tracking your phone,delete hangout history
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,13,13
2011-04-01,14,13
2011-05-01,25,13
2011-06-01,13,13
2011-07-01,13,13
2011-08-01,12,0
2011-09-01,36,0
2011-10-01,11,0
2011-11-01,11,0
2011-12-01,22,0
2012-01-01,15,0
2012-02-01,15,0
2012-03-01,15,0
2012-04-01,11,0
2012-05-01,10,0
2012-06-01,10,10
2012-07-01,10,10
2012-08-01,10,10
2012-09-01,10,9
2012-10-01,9,9
2012-11-01,9,9
2012-12-01,9,18
2013-01-01,8,16
2013-02-01,18,12
2013-03-01,16,12
2013-04-01,8,8
2013-05-01,32,29
2013-06-01,11,49
2013-07-01,11,72
2013-08-01,32,66
2013-09-01,10,47
2013-10-01,15,67
2013-11-01,25,33
2013-12-01,15,63
2014-01-01,14,85
2014-02-01,12,77
2014-03-01,7,65
2014-04-01,11,72
2014-05-01,11,75
2014-06-01,11,70
2014-07-01,18,89
2014-08-01,23,65
2014-09-01,12,87
2014-10-01,14,88
2014-11-01,7,98
2014-12-01,7,75
2015-01-01,17,79
2015-02-01,10,100
2015-03-01,13,71
2015-04-01,16,95
2015-05-01,10,71
2015-06-01,25,61
2015-07-01,13,67
2015-08-01,15,94
2015-09-01,13,76
2015-10-01,18,39
2015-11-01,15,65
2015-12-01,11,68
2016-01-01,14,79
2016-02-01,32,60
2016-03-01,26,54
2016-04-01,10,52
2016-05-01,19,43
2016-06-01,14,43
2016-07-01,20,39
2016-08-01,19,44
2016-09-01,13,25
2016-10-01,18,34
2016-11-01,25,38
2016-12-01,22,40
2017-01-01,17,41
