date,Delete Gmail,how to delete gmail
2011-01-01,49,24
2011-02-01,48,24
2011-03-01,49,23
2011-04-01,52,26
2011-05-01,52,25
2011-06-01,57,29
2011-07-01,66,33
2011-08-01,61,31
2011-09-01,60,32
2011-10-01,59,31
2011-11-01,62,31
2011-12-01,65,33
2012-01-01,66,34
2012-02-01,56,29
2012-03-01,56,28
2012-04-01,58,29
2012-05-01,55,28
2012-06-01,59,31
2012-07-01,64,34
2012-08-01,67,36
2012-09-01,65,35
2012-10-01,61,31
2012-11-01,61,32
2012-12-01,72,38
2013-01-01,70,38
2013-02-01,72,38
2013-03-01,74,38
2013-04-01,75,39
2013-05-01,75,40
2013-06-01,82,42
2013-07-01,81,44
2013-08-01,82,45
2013-09-01,83,44
2013-10-01,82,44
2013-11-01,80,42
2013-12-01,93,50
2014-01-01,98,54
2014-02-01,92,50
2014-03-01,91,50
2014-04-01,92,50
2014-05-01,87,48
2014-06-01,90,49
2014-07-01,92,50
2014-08-01,100,56
2014-09-01,98,53
2014-10-01,91,50
2014-11-01,93,49
2014-12-01,88,47
2015-01-01,88,48
2015-02-01,81,45
2015-03-01,82,46
2015-04-01,86,47
2015-05-01,83,47
2015-06-01,87,48
2015-07-01,89,51
2015-08-01,93,53
2015-09-01,90,49
2015-10-01,84,47
2015-11-01,81,44
2015-12-01,87,47
2016-01-01,92,52
2016-02-01,85,48
2016-03-01,85,48
2016-04-01,83,46
2016-05-01,83,47
2016-06-01,89,51
2016-07-01,95,54
2016-08-01,95,53
2016-09-01,92,52
2016-10-01,88,50
2016-11-01,91,50
2016-12-01,94,54
2017-01-01,97,54
