date,check email online
2011-01-01,73
2011-02-01,84
2011-03-01,76
2011-04-01,77
2011-05-01,68
2011-06-01,75
2011-07-01,80
2011-08-01,76
2011-09-01,63
2011-10-01,59
2011-11-01,67
2011-12-01,68
2012-01-01,73
2012-02-01,70
2012-03-01,75
2012-04-01,73
2012-05-01,78
2012-06-01,92
2012-07-01,80
2012-08-01,100
2012-09-01,88
2012-10-01,79
2012-11-01,63
2012-12-01,78
2013-01-01,86
2013-02-01,82
2013-03-01,85
2013-04-01,84
2013-05-01,79
2013-06-01,83
2013-07-01,93
2013-08-01,92
2013-09-01,83
2013-10-01,82
2013-11-01,74
2013-12-01,75
2014-01-01,89
2014-02-01,88
2014-03-01,78
2014-04-01,85
2014-05-01,82
2014-06-01,83
2014-07-01,87
2014-08-01,88
2014-09-01,89
2014-10-01,79
2014-11-01,85
2014-12-01,87
2015-01-01,80
2015-02-01,87
2015-03-01,80
2015-04-01,82
2015-05-01,75
2015-06-01,84
2015-07-01,94
2015-08-01,100
2015-09-01,81
2015-10-01,77
2015-11-01,81
2015-12-01,96
2016-01-01,85
2016-02-01,86
2016-03-01,86
2016-04-01,89
2016-05-01,92
2016-06-01,97
2016-07-01,98
2016-08-01,94
2016-09-01,98
2016-10-01,86
2016-11-01,85
2016-12-01,91
2017-01-01,90
