date,how to read someones text messages without their phone
2011-01-01,0
2011-02-01,0
2011-03-01,23
2011-04-01,23
2011-05-01,23
2011-06-01,23
2011-07-01,23
2011-08-01,22
2011-09-01,20
2011-10-01,20
2011-11-01,20
2011-12-01,20
2012-01-01,19
2012-02-01,19
2012-03-01,54
2012-04-01,25
2012-05-01,18
2012-06-01,18
2012-07-01,54
2012-08-01,35
2012-09-01,18
2012-10-01,16
2012-11-01,24
2012-12-01,48
2013-01-01,58
2013-02-01,32
2013-03-01,14
2013-04-01,15
2013-05-01,14
2013-06-01,44
2013-07-01,14
2013-08-01,19
2013-09-01,14
2013-10-01,13
2013-11-01,40
2013-12-01,34
2014-01-01,38
2014-02-01,14
2014-03-01,25
2014-04-01,34
2014-05-01,47
2014-06-01,33
2014-07-01,28
2014-08-01,28
2014-09-01,34
2014-10-01,34
2014-11-01,46
2014-12-01,34
2015-01-01,24
2015-02-01,26
2015-03-01,27
2015-04-01,32
2015-05-01,35
2015-06-01,52
2015-07-01,47
2015-08-01,31
2015-09-01,27
2015-10-01,51
2015-11-01,19
2015-12-01,42
2016-01-01,68
2016-02-01,68
2016-03-01,92
2016-04-01,59
2016-05-01,66
2016-06-01,89
2016-07-01,38
2016-08-01,78
2016-09-01,40
2016-10-01,51
2016-11-01,100
2016-12-01,100
2017-01-01,95
